Aphrika	África
Casablanca (kuyu walltay)	Casablanca (filme)
Griguryu XV	Papa Gregório XV
Pawlu V	Papa Paulo V
Liyun XI	Papa Leão XI
Hipachiy	Tortura
Wapsiyay	Evaporação
Runa sipiy	Assassínio
Akwayuq	Conífera
Nemota Maskaykuspa	Finding Nemo
Olympique Marseille	Olympique de Marseille
Taklamakan	Taklamakan
Florianópolis	Florianópolis
Pawlu III	Papa Paulo III
Gro Harlem Brundtland	Gro Harlem Brundtland
Alberto Fujimori	Alberto Fujimori
Q'asa	Passo de montanha
Griguryu VII	Papa Gregório VII
Chanka	Perna
Kulunya	Colónia
Takana waqachina	Instrumento de percussão
Q'umpuyasqa	Tumor
Rawray	Combustão
Wasa	Costas
Pacha	Espaço-tempo
Saywa	Fronteira
Jan Peter Balkenende	Jan Peter Balkenende
Bee Gees	Bee Gees
Suchu piki	Bicho-de-pé
Mara	Swietenia
Thaqu	Prosopis
Sanpidru wachuma	Wachuma
Ruqutu	Capsicum pubescens
Yuraq q'acha-q'acha	Aspidosperma quebracho-blanco
Chaski qillqa	Carta
Yachaqay	Aprendizagem
Samiruka	Chacrona
Ayawaska	Cipó-mariri
Kullku	Metriopelia
Llat'an muruyuq	Gimnospérmica
Wiñay wayna	Epidendrum
Kiru ismu	Cárie dentária
Puya	Puya
Ch'illka	Baccharis
Chiriq sananku	Brunfelsia
Ullu k'aspiyay	Ereção
José de San Martín	José de San Martín
Oscar Niemeyer	Oscar Niemeyer
Papa yura rikch'aq ayllu	Solanaceae
Truman Capote	Truman Capote
Magic Johnson	Magic Johnson
Piluta Hayt'ay Pachantin Kupa 1966	Copa do Mundo FIFA de 1966
Kiru pichana	Escova de dentes
Tennessee Williams	Tennessee Williams
Chillki	Caule
Unquy yuyu	Orégano
Roger Moore	Roger Moore
Kampachu	Anágua-de-vénus
Rit'i Yuraqchawan Qanchisnintin Ch'itiwan (kuyuchisqa siq'isqa)	Branca de Neve e os Sete Anões (filme)
Balqash qucha	Lago Balcache
Győr	Győr
Chumpi	Cinto
Aysana	Balança
Sisachay	Polinização
Saitama	Saitama (cidade)
Chūbu suyu	Região de Chubu
Exeter	Exeter
Muqu-muqu	Equisetopsida
Murira pillpintu	Bicho-da-seda
T'ukuch'uqu	Pertússis
Stoke-on-Trent	Stoke-on-Trent
Titanka	Puya raimondii
Qhichwa runa	Quíchuas
Thuqay ch'añan	Glândula salivar
Lukas Podolski	Lukas Podolski
Q'illu umiña	Topázio
Winchuka	Triatoma infestans
Yupi	Pegada
Q'achan	Melão-andino
Serapio Calderón	Serapio Calderón
Eduardo López de Romaña	Eduardo López de Romaña
José Pardo y Barreda	José Pardo y Barreda
Guillermo Billinghurst	Guillermo Billinghurst
Antikuna ukumari	Tremarctos ornatus
ThyssenKrupp	ThyssenKrupp
Park Geun-hye	Park Geun-hye
Radamel Falcao	Radamel Falcao García
Lupuna	Mafumeira
Zacatecas	Zacatecas (cidade)
Kinwa	Quinoa
Qispilla urmay	Queda livre
Hvannadalshnúkur	Hvannadalshnúkur
P'uruña	Pia
Damaris	Damaris
Ignacio Andrade	Ignacio Andrade
Beni mayu	Rio Beni
Yawri	Agulha
Muya	Horta (agricultura)
Tuna waraqu	Opuntia ficus-indica
Phallcha	Gentiana
P'akincha yura rikch'aq ayllu	Papaveraceae
Paychi	Pirarucu
Raqacha yura rikch'aq ayllu	Apiaceae
Waranqaysu yura rikch'aq ayllu	Ranunculaceae
Awillanu	Corylus
Chaqallu	Legume
Uchuq'aspa	Calendula officinalis
Haya yura rikch'aq ayllu	Fagaceae
Pisya	Picea abies
Sipris yura rikch'aq ayllu	Cupressaceae
Waranqaysu	Ranunculus
Iwrupa haya	Faia-europeia
Giovanni Bosco	Dom Bosco
Yuraq mustasa	Sinapis alba
Kulis	Couve
Llamp'u chichira	Lepidium
Veszprém	Veszprém
P'akincha	Papaver
Q'aya-q'aya	Erva-moura
Stjepan Mesić	Stjepan Mesić
Chullusqa	Solvente
Papa rikch'ana	Solanum
Ch'aki mit'a	Estação seca
Yananara	Cassis
Awina	Aveia
Achkha yupa	Plural
Sik'ina	Alicate
Hussein I	Hussein da Jordânia
Sipris	Cupressus
Qipuncha	Borragem
Sapaliri	Cerro Zapaleri
Chincha q'arachupa	Didelphis virginiana
Malwa	Malva
Chikchipa	Tagetes
Qillqana isku	Giz processado
Achiwiti	Urucu (planta)
Allqu ñupchuy	Solanum dulcamara
Joaquín Balaguer	Joaquín Balaguer
Illimani	Illimani
Qincha	Cerca
Tupi waraniyi rimaykuna	Línguas tupis-guaranis
Achuni	Quati
Wiswiru	Mespilus
Istrilla intillama	Bradypus variegatus
Mayuatu	Procyon
Awaka	Euphorbia peplus
Ayamaych'a	Rhinanthus
K'ita pulla	Alho-porro-bravo
Papa lancha	Phytophthora infestans
Hanu k'ara	Lepidium ruderale
K'ita p'akincha	Papaver argemone
Esmeraldas	Esmeraldas (cidade)
Yupaylliy	Cálculo
Uqururu ch'inkil	Rorippa nasturtium-aquaticum
Santiago Ramón y Cajal	Santiago Ramón y Cajal
Vittorio Emanuele III	Vítor Emanuel III da Itália
Jérôme Boateng	Jérôme Boateng
Johnny Weissmuller	Johnny Weissmuller
Abdul-Aziz bin Saud	Ibn Saud
Frederick Sanger	Frederick Sanger
Chilipi pacha kuyuy (2010)	Sismo do Chile de 2010
Pleiku antanka pampa	Aeroporto de Pleiku
Anna Pawlowa	Anna Pavlova
Imakay	Conceito
Binidiktu I	Papa Bento I
Eduard Shevardnadze	Eduard Shevardnadze
Leonel Fernández	Leonel Fernández
Bayer	Bayer
Uchpa	Cinzas
Ch'illami	Banheira
Punkillikuy	Edema
Waqay	Choro (fisiologia)
Mohammed Sahir Shah	Mohammed Zahir Xá
P'inqa	Vergonha
Ludmilla Radchenko	Ludmilla Radchenko
Marco Reus	Marco Reus
Joan Miró	Joan Miró
Kristup Ukhun raymi	Corpus Christi
Rafael Trujillo	Rafael Leónidas Trujillo
Alfredo Stroessner	Alfredo Stroessner
Mamacha Kandilarya Raymi	Apresentação de Jesus no Templo
Kevin Keegan	Kevin Keegan
Karl-Heinz Rummenigge	Karl-Heinz Rummenigge
Benedikt Höwedes	Benedikt Höwedes
Asuti	Chicote
Christoph Metzelder	Christoph Metzelder
Maximilian Schell	Maximilian Schell
Rita da Cascia	Rita de Cássia
Lennart Meri	Lennart Meri
Louis Joseph Gay-Lussac	Louis Joseph Gay-Lussac
Paco de Lucía	Paco de Lucía
Allan Simonsen	Allan Simonsen
Makarios III	Makarios III
Umberto I	Humberto I de Itália
Edin Džeko	Edin Džeko
Alcide De Gasperi	Alcide De Gasperi
Punk	Cultura punk
Tübingen Yachay Suntur	Universidade de Tubinga
Anqara	Tigela
Manka	Panela
Sam Nujoma	Sam Nujoma
Chankaka	Melaço
Phutikuy	Ansiedade
Lunqanus	Chouriço de sangue
Léopold Senghor	Léopold Sédar Senghor
Bertie Ahern	Bertie Ahern
Carlos Fuentes	Carlos Fuentes
Italo Calvino	Italo Calvino
Dámaso Pérez Prado	Perez Prado
Andreas Köpke	Andreas Köpke
Jean-Marie Pfaff	Jean-Marie Pfaff
Ahmed Sékou Touré	Ahmed Sékou Touré
César Milstein	César Milstein
Paul-Henri Spaak	Paul-Henri Spaak
Runtuma yura rikch'aq ayllu	Cyperaceae
Hamanq'ay yura rikch'aq ayllu	Amaryllidaceae
Chuchaw	Agave
Andreas Möller	Andreas Möller
Thuqa	Saliva
Kiwicha yura rikch'aq ayllu	Amaranthaceae
Pirqakachun yura rikch'aq ayllu	Crassulaceae
Hamachi yura rikch'aq ayllu	Iridaceae
Chili-chili yura rikch'aq ayllu	Geraniaceae
Binidiktu XIII	Papa Bento XIII
Iklisiyastiku	Eclesiástico
Awidul yura rikch'aq ayllu	Betulaceae
Ruq'i yura rikch'aq ayllu	Rhamnaceae
Klawil	Dianthus
Pika-pika yura rikch'aq ayllu	Polygonaceae
Chaparru	Sobreiro
Yawarch'unqa yura rikch'aq ayllu	Onagraceae
Ayamaych'a yura rikch'aq ayllu	Orobanchaceae
Kisa yura rikch'aq ayllu	Urticaceae
Kañamu yura rikch'aq ayllu	Cannabaceae
Sankurachi	Amaranto
Universidade Estadual de Feira de Santana	Universidade Estadual de Feira de Santana
Tuktu-tuktu	Inflorescência
Pierre Mauroy	Pierre Mauroy
Ch'awar yura rikch'aq ayllu	Bromeliaceae
K'awchu sach'a	Seringueira
Malwa yura rikch'aq ayllu	Malvaceae
Sawintu yura rikch'aq ayllu	Myrtaceae
Kina yura rikch'aq ayllu	Rubiaceae
Paparawa yura rikch'aq ayllu	Moraceae
Wachanqa yura rikch'aq ayllu	Euphorbiaceae
Mulli yura rikch'aq ayllu	Anacardiaceae
Mário Soares	Mário Soares
Paolo Guerrero	Paolo Guerrero
Konstantinos Karamanlis	Konstantínos Georgios Karamanlís
Martha Argerich	Martha Argerich
Q'ira	Tremoceiro
Yehudi Menuhin	Yehudi Menuhin
Joinville	Joinville
Lúcio	Lúcio (futebolista)
Air Berlin	Air Berlin
Ramiz Alia	Ramiz Alia
Getúlio Vargas	Getúlio Vargas
Chakana tuktuyuq rikch'aq ayllu	Brassicaceae
Hamachi	Iris (género)
Merck	Merck KGaA
Sikas yura	Cicadófita
Ispa muyu	Hibiscus
Ñukch'u	Salvia
Saqarara	Plantago major
Tara yura urin rikch'aq ayllu	Caesalpinioideae
Intimpa yura rikch'aq ayllu	Podocarpaceae
Tintin yura rikch'aq ayllu	Passifloraceae
Isparaw yura rikch'aq ayllu	Asparagaceae
Qantu yura rikch'aq ayllu	Polemoniaceae
Muni	Bidens
Mula kisa	Urtica urens
Sispa waranqaysu	Thalictrum
Sillu-sillu	Alchemilla
Husk'a	Astragalus
Aden Abdullah Osman	Aden Abdullah Osman Daar
Phallcha yura rikch'aq ayllu	Gentianaceae
Rumasa	Rumex
Yuraq murira	Morus alba
Miguel Delibes	Miguel Delibes
Q'uya	Festuca
Kawallu maqt'anwan	The Horse and his Boy
Ch'ullku	Oxalis
Qallu-qallu	Plantago lanceolata
Una llunku	Confrei
P'ata qachu	Poa annua
Pantanal	Pantanal
Yawar ch'unqa	Oenothera
Llunku-llunku	Echium vulgare
Ñaqch'a-ñaqch'a	Erodium cicutarium
Sepp Herberger	Sepp Herberger
Kiswar	Buddleja
Kuka	Erythroxylum coca
Ayara	Chenopodium
Zvjezdan Misimović	Zvjezdan Misimović
Hugo Gunckel	Hugo Gunckel Luer
Siemianowice Śląskie	Siemianowice Śląskie
Piekary Śląskie	Piekary Śląskie
Chicha-chicha	Carex
T'ankar	Berberis
Llikcha	Chenopodium album
Achanqaray	Begônia
Tupu-tupu	Physalis
Chiqan kimsak'uchu	Triângulo retângulo
Uquti	Reto
Alkachu	Cânfora
Kawallu kastaña	Aesculus
Piwin	Araucaria araucana
Patrice de Mac-Mahon	Patrice Mac-Mahon
Mara yura rikch'aq ayllu	Meliaceae
Kapiqantu	Craveiro
Chirimuya	Cherimoia
Sintuq	Opuntia
Mark Schwarzer	Mark Schwarzer
Universidade Federal da Bahia	Universidade Federal da Bahia
Centro Federal de Educação Tecnológica de Minas Gerais	Centro Federal de Educação Tecnológica de Minas Gerais
Sisal	Sisal
Ariqipa	Arequipa
Qurwara	Bolor
T'uyuy	Remo
Pawyun	Babuíno
Albertville	Albertville (França)
Urqu kalistu	Eucalyptus globulus
Piminta yura	Piper
Qanchist'upsi k'uslulu	Coccinella septempunctata
Ali Daei	Ali Daei
Kinwara	Cestoda
Augusto Roa	Augusto Roa Bastos
T'ira	Gêmeos
Walter Hallstein	Walter Hallstein
Phaqut	Fagote
Llanthu	Sombra
Chhalla	Palha
Kina-kina	Cinchona
Phu Bai antanka pampa	Aeroporto Internacional de Phu Bai
Qhichipra	Celha
Ispiha muña	Hortelã-verde
T'anta ruraq	Padeiro
Rump'u qillqana	Caneta esferográfica
Qhullquy	Flatulência
Chiqniy	Ódio
Piruwpa unanchan	Bandeira do Peru
Uyariy	Audição
Norodom Sihanouk	Norodom Sihanouk
Sut'i musyay	Percepção
Andreas Herzog	Andreas Herzog
Ch'itana mukmu	Botão
Inverness	Inverness
Lakawiti	Cucurbita moschata
Valdivia	Valdivia (cidade)
Kuraq umu wasi	Abadia
Pachuca de Soto	Pachuca de Soto
Piluta Hayt'ay Pachantin Kupa 1962	Copa do Mundo FIFA de 1962
Aycha wayt'ana	Sarcopterygii
Huwan I	Papa João I
Chiyu	Fuchsia
Paqpa	Agave americana
Pumachu	Calamagrostis
Sapallu	Cucurbita maxima
Kururunku	Passiflora
Siwuk	Setaria italica
Runtuma	Cyperus
Sisi p'uchqu	Ácido metanoico
0 watakuna kñ	Década de 0 a.C.
Rapra	Asa
Ñawi hampikamayuq	Oftalmologia
Achala	Joalharia
T'iksu pampa	Plano inclinado
Reading	Reading
Saynata	Máscara
Javier Mascherano	Javier Mascherano
Mysłowice	Mysłowice
Griguryu X	Papa Gregório X
Julie Andrews	Julie Andrews
Makabayop huk ñiqin qillqasqan	I Macabeus
Eusébio	Eusébio
Waynilla	Vanilla
Khipa qachu	Lolium temulentum
Binidiktu VIII	Papa Bento VIII
Purun quwi	Cavia tschudii
Llump'ay kamay	Higiene
Tony Curtis	Tony Curtis
Cartagena (Ispaña)	Cartagena (Espanha)
Rikuy	Percepção visual
Kiwicha	Amaranthus caudatus
Siwis	Cedrela
Paqpa yura rikch'aq ayllu	Anthericaceae
Phallchacha	Gentianella
Chanqu	Ranunculus aquatilis
China kalistu	Eucalyptus camaldulensis
Kanuwa ruya	Cedro-cheiroso
Waq'akay (1960 kuyu walltay)	Psycho
Ezra Pound	Ezra Pound
Angkor	Angkor
Katari	Viperidae
Qiqiri	Trompa
Binidiktu II	Papa Bento II
Francisco Javier	Francisco Xavier
Kawasaki (Kanagawa)	Kawasaki (cidade)
Kansai suyu	Região de Kansai
Thaksin Shinawatra	Thaksin Shinawatra
Ava Gardner	Ava Gardner
Tukuy mikhuq	Omnívoro
George Best	George Best
Mobutu Sese Seko	Mobutu Sese Seko
Alfredo Di Stéfano	Alfredo Di Stéfano
Vytautas Landsbergis	Vytautas Landsbergis
Ch'upu	Abscesso
Llantan	Plantago
Quwapaq ñukch'u	Fuchsia boliviana
Siwikunap Apun: Iskaynintin pukara (kuyu walltay)	O Senhor dos Anéis: As Duas Torres
Manuel Scorza	Manuel Scorza
Kankil	Pipoca
Q'utu	Bócio
Rinda	Prunus avium
K'aspicha ruwli	Carvalho-roble
Lien Khuong antanka pampa	Aeroporto de Lien Khuong
Mérida (Mishiku)	Mérida (México)
Kim Young-sam	Kim Young-sam
100 watakuna	Década de 100
Awaymantu	Physalis peruviana
100 watakuna kñ	Década de 100 a.C.
Maywood (Illinois)	Maywood (Illinois)
Anqas umiña	Turquesa
Lope de Vega	Félix Lope de Vega
Teresina	Teresina
Kimsa khata sisayuq	Eudicotiledôneas
Pachak Hukniyuq Dalmata Allqu	One Hundred and One Dalmatians
Huwan XXII	Papa João XXII
Mérida suyu (Winisuyla)	Mérida (estado)
Machapu	Onda oceânica de superfície
Yarqay	Fome
Sapa Inka	Imperador Inca
Manqu Qhapaq	Manco Capac
Mayta Qhapaq	Maita Capac
Yawar apariy	Hemorragia
Lelystad	Lelystad
Piluta Hayt'ay Pachantin Kupa 1974	Copa do Mundo FIFA de 1974
Rurana wakichi	Software aplicativo
Siwk patma	Segmento de reta
Onega qucha	Lago Onega
Stiliyan Petrov	Stiliyan Petrov
Inti yaykuy	Pôr do sol
San Pablo pruwinsya	São Paulo (província)
Sawintu	Goiabeira
Griguryu IV	Papa Gregório IV
Eger (Unriya)	Eger
Puka pili	Marreca-carijó
Mata unquy	Sarna
Alan García	Alan García
Iskaynintinchaki	Diplópode
Wik'uña	Vicunha
Haq'arwitu	Orthoptera
Gore Vidal	Gore Vidal
Lev Yashin	Lev Yashin
Domenico Scarlatti	Domenico Scarlatti
Ñawi huñuna unquy	Conjuntivite
Lluqlla	Deslizamento de terra
Chaki muqu	Tornozelo
Chawpi p'unchaw	Meio-dia
Hatun yarqay	Carestia
Huq'ullu	Girino
Roger Milla	Roger Milla
Wichaykuna k'aspi	Escada de mão
Sopron	Sopron
Wawallku	Boneca
Vittorio Emanuele II	Vítor Emanuel II da Itália
Huwan II	Papa João II
Lorenzo Bernardi	Lorenzo Bernardi
California, Berkeley Yachay Suntur	Universidade da Califórnia em Berkeley
Anaphilaksiya	Anafilaxia
Kawsaykuq tantalli ismusqa	Gangrena
Maceió	Maceió
Frank Rijkaard	Frank Rijkaard
10 watakuna kñ	Década de 10 a.C.
Llakikuy	Tristeza
Binidiktu XI	Papa Bento XI
Chaqrusqa	Mistura
Shaquille O'Neal	Shaquille O'Neal
Anahí	Anahí
11 ñiqin pachakwata kñ	Século XI a.C.
Chachakumani (Chuqiyapu)	Chachacomani
Qalla iruru	Pneu
Griguryu XI	Papa Gregório XI
Hulyu III	Papa Júlio III
Sach'a-sach'a qulluy	Desflorestação
1100 watakuna	Década de 1100
Ratatouille (kuyuchisqa siq'isqa)	Ratatouille (filme)
Nicolás de Piérola	Nicolás de Piérola Villena
Manuel Candamo	Manuel Candamo Iriarte
Unquchiq	Agente patogénico
Qillqa wayaqacha	Envelope
Helena (santu)	Helena de Constantinopla
Wanay wanu	Guano
Jinan	Jinan
Éric Cantona	Éric Cantona
Cần Thơ antanka pampa	Aeroporto de Can Tho
Hatun Concepción (Chili)	Grande Concepción (Chile)
110 watakuna	Década de 110
110 watakuna kñ	Década de 110 a.C.
Gabriel Batistuta	Gabriel Batistuta
Blackpool	Blackpool
Binidiktu XII	Papa Bento XII
Takina	Melodia
Trance	Trance
T'uru	Lama
Adriano Leite Ribeiro	Adriano Leite Ribeiro
Amarumayu suyu (Winisuyla)	Amazonas (Venezuela)
Maywiy	Vibração
Bournemouth	Bournemouth
Kurku	Corpo
Gloucester	Gloucester
Huwan VIII	Papa João VIII
Karpa	Barraca
Binidiktu V	Papa Bento V
Asiy	Gargalhada
Marucha	Pupa
Kuntur	Condor-dos-andes
Wirrinatu Musuq Ispaña	Vice-Reino da Nova Espanha
Techno	Techno
Santa Krus llaqta	Santa Cruz de la Sierra
Laura Pausini	Laura Pausini
Boca Juniors	Club Atlético Boca Juniors
Pedro Calderón de la Barca	Calderón de la Barca
Climinti III	Papa Clemente III
Wapsi antakuyu	Locomotiva a vapor
Pukllanamanta Willakuy	Toy Story
Diego Rivera	Diego Rivera
Qara hampikamayuq	Dermatologia
Nyíregyháza	Nyíregyháza
K'askachakuq rimay	Língua aglutinante
Aida	Aida
Pavel Nedvěd	Pavel Nedvěd
Ñust'awan K'ayrawan	A Princesa e o Sapo
Esztergom	Esztergom
Kecskemét	Kecskemét
Mullu	Coral
Inti wayta	Girassol
Kanuwa	Canoa
Bobby Charlton	Bobby Charlton
Campinas	Campinas
Griguryu XIV	Papa Gregório XIV
Marakaypu	Maracaibo
12 ñiqin pachakwata kñ	Século XII a.C.
Aldo Moro	Aldo Moro
Middlesbrough	Middlesbrough
Ñupchu	Néctar
Nanchang	Nanchang
Paka-paka	Esconde-esconde
Yochanan Vollach	Yochanan Vollach
Georges Cuvier	Georges Cuvier
Omar Bongo	Omar Bongo
Antonio Ruiz de Montoya	Antonio Ruiz de Montoya
Pallawan Q'arachakiwan	A Dama e o Vagabundo
Liyun V	Papa Leão V
Peterborough	Peterborough
120 watakuna kñ	Década de 120 a.C.
Binidiktu III	Papa Bento III
120 watakuna	Década de 120
Arhintinap llaqta takin	Himno Nacional Argentino
Astor Piazolla	Astor Piazzolla
Beşiktaş JK	Beşiktaş Jimnastik Kulübü
Sanka	Palato
Teotiwakan	Teotihuacan
Karakum	Deserto de Karakum
Juan Pablo Montoya	Juan Pablo Montoya
Pichana	Vassoura
Aya mikhuq	Detritívoro
Wanaku	Guanaco
Huwan XXI	Papa João XXI
Climinti IV	Papa Clemente IV
Huwan XII	Papa João XII
Achka t'asla	Poliedro
Awarank'u	Tear
Kastilla	Região histórica de Castela
Santiago de Querétaro	Querétaro (cidade)
George Weah	George Weah
Carlos Reutemann	Carlos Reutemann
Veracruz	Veracruz (cidade)
Éamon de Valera	Éamon de Valera
Phukuna waqachina	Instrumento de sopro
Contae Bhaile Átha Cliath	Condado de Dublin
Amachana chuku	Capacete
Millq'uti	Esófago
Allqumiyu yura rikch'aq ayllu	Apocynaceae
Rubén Darío	Rubén Darío
Illwa	Raio (geometria)
Puka urpi	Pariri
Ruud Gullit	Ruud Gullit
Changsha	Changsha
Suyt'u usiku delphin	Golfinho-roaz
Julio Cortázar	Julio Cortázar
Wilmington (Delaware)	Wilmington (Delaware)
Mutsuhito	Imperador Meiji
Abhisit Vejjajiva	Abhisit Vejjajiva
Pedro Alvares Cabral	Pedro Álvares Cabral
Q'uruta ch'uspa	Escroto
Madagaskar (kuyuchisqa siq'isqa)	Madagascar (filme)
Mary McAleese	Mary McAleese
Amospa qillqasqan	Livro de Amós
29 ñiqin pachakwata kñ	Século XXIX a.C.
Tiksicha k'allampa	Basidiomycota
Wayaqacha k'allampa	Ascomycota
Villa Alemana	Villa Alemana
Abdiyaspa qillqasqan	Livro de Obadias
United Airlines	United Airlines
Millp'uti	Faringe
Up	Up (filme)
Teresa de Jesús	Teresa de Ávila
Wikipidiya:Ruraqta hark'ay	Wikipédia:Política de bloqueio
13 ñiqin pachakwata kñ	Século XIII a.C.
Punku p'anqa: Wiñay kawsay	Portal:História
Hatun tunqur	Traqueia
Lakhdar Belloumi	Lakhdar Belloumi
Pila	Mangueira (tubo)
Christophe Dugarry	Christophe Dugarry
La Merced Pallan	Nossa Senhora das Mercês
San Matías (Santa Krus)	San Matías (Santa Cruz)
Piluta Hayt'ay Pachantin Kupa 2010	Copa do Mundo FIFA de 2010
Murucha	Esporo
Amarumayu sach'a-sach'a suyu	Amazônia
Pukara (sut'ichana)	Pucará
Makaka	Macaca
Chiloé wat'akuna	Chiloé
170 watakuna	Década de 170
Maicon Douglas Sisenando	Maicon Douglas Sisenando
Kalyu qullpa	Nitrato de potássio
Sankhu	Massa (alimento)
Mikhap qillqasqan	Livro de Miqueias
Rit'i suchuykachay	Snowboard
Sololá suyu	Sololá (departamento)
90 watakuna kñ	Década de 90 a.C.
Tuktunnaq sirk'ayuq	Pteridophyta
Chunka iskayniyuq uya	Dodecaedro
Ageop qillqasqan	Livro de Ageu
Humu	Razão
Salsa	Molho
Eseqyelpa qillqasqan	Livro de Ezequiel
Akak'ichki	Obstipação
Mapuchi	Mapuches
Maki illapapayana	Pistola-metralhadora
Wasa ruru rumi	Cálculo renal
Paolo Rossi	Paolo Rossi
Romario	Romário
Cafú	Cafu
15 ñiqin pachakwata kñ	Século XV a.C.
Sindikatu	Sindicato
Binidiktu IX	Papa Bento IX
Cien años de soledad	Cem Anos de Solidão
Békéscsaba	Békéscsaba
Dyus kay	Deidade
Tucupita	Tucupita
Kareem Abdul-Jabbar	Kareem Abdul-Jabbar
T'uqyay	Explosão
Waqyaykuna qillqasqa	Livro das Lamentações
Yawar tikayay	Coagulação sanguínea
Kawallu yallinakuy	Hipismo
Parawayi mayu	Rio Paraguai
Oliver Stone	Oliver Stone
Atawallpa	Atahualpa
Ch'ultikuy	Mergulho
Sumaqchawan Sallqawan (kuyuchisqa siq'isqa)	Beauty and the Beast (1991)
Binidiktu VII	Papa Bento VII
Wank'a	Estátua
Huwan XVIII	Papa João XVIII
Wilancha	Sacrifício
Nahumpa qillqasqan	Livro de Naum
Habakukpa qillqasqan	Livro de Habacuque
Sakharyap qillqasqan	Livro de Zacarias
Pedro Rodríguez Ledesma	Pedro Rodríguez Ledesma
Binidiktu VI	Papa Bento VI
Ahmed Ben Bella	Ahmed Ben Bella
Lirq'u	Estrabismo
Yuyaychinkay	Síncope (medicina)
Lincoln (Lincolnshire)	Lincoln (Inglaterra)
Ben-Hur (1959 kuyu walltay)	Ben-Hur
Lilian Thuram	Lilian Thuram
Christopher Lee	Christopher Lee
Yosemite mamallaqta parki	Parque Nacional de Yosemite
Wapiti	Cervus canadensis
Wasi ukhu	Quarto
Azpeitia	Azpeitia
Garrincha	Garrincha
Mario Kempes	Mario Kempes
Dino Zoff	Dino Zoff
14 ñiqin pachakwata kñ	Século XIV a.C.
Lata phukuna waqachina	Metais
Mark Spitz	Mark Spitz
Elemento	Elemento
Sunqup'iti nanay	Angina
Bács-Kiskun	Bács-Kiskun
Qiru phukuna waqachina	Madeiras
Szolnok	Szolnok
Mahathir bin Mohamad	Mahathir bin Mohamad
Suchuqrampa	Trenó
Winchu	Magnetita
Kutupaksi	Cotopaxi
Darling mayu	Rio Darling
Genovesa wat'a	Ilha Genovesa
Kau-hiyun	Kaohsiung
Hampina	Paciente
Ñañu tunqur	Brônquio
Qullqa	Armazém
Huk nasyunkuna rimanakuy qhawaq	Política externa
Chimpapura uyayuq	Paralelepípedo
Agostinho Neto	Agostinho Neto
Tirisa Lisieuxmanta	Teresa de Lisieux
Nnamdi Azikiwe	Nnamdi Azikiwe
Contae Cheatharlach	Condado de Carlow
Huwan XIII	Papa João XIII
Huwan XI	Papa João XI
Naha	Naha
Kuru k'arachiq	Hydrozoa
Agostino Casaroli	Agostino Casaroli
Marakaypu qucha	Lago de Maracaibo
Antawakuna (kuyuchisqa siq'isqa)	Carros (filme)
Surkay	Bocejo
Benito Juárez	Benito Juárez
Tuwi puma	Puma yagouaroundi
Peter Schmeichel	Peter Schmeichel
José Sócrates Carvalho Pinto de Sousa	José Sócrates
Lars Løkke Rasmussen	Lars Løkke Rasmussen
Alberto Gilardino	Alberto Gilardino
Wilt Chamberlain	Wilt Chamberlain
Janet Gaynor	Janet Gaynor
Binidiktu IV	Papa Bento IV
Liyun VII	Papa Leão VII
Ruranakuy paqtachani	Equação química
Rod Stewart	Rod Stewart
Kunming	Kunming
Simi hawa tullu	Osso maxilar
Pura-pura qara	Malacostraca
Sut'i	Teoria do significado
Fabio Capello	Fabio Capello
Quchapampa	Cochabamba
Arthur Rubinstein	Arthur Rubinstein
Fahd bin Abdul-Aziz	Fahd da Arábia Saudita
Samuel Johnson	Samuel Johnson
Allpapi puquq	Tubérculo
Yura usa	Afídio
16 ñiqin pachakwata kñ	Século XVI a.C.
20 ñiqin pachakwata kñ	Século XX a.C.
Tika	Adobe
130 watakuna kñ	Década de 130 a.C.
130 watakuna	Década de 130
Huyi runa	Hui (povo)
Lanzhou	Lanzhou
Franjo Tuđman	Franjo Tuđman
Alija Izetbegović	Alija Izetbegović
David Trezeguet	David Trezeguet
Oseaspa qillqasqan	Livro de Oseias
Preston	Preston
Darijo Srna	Darijo Srna
Viña del Mar	Viña del Mar
Natriyu qullpa	Nitrato de sódio
Pampa-pampa	Pampa
Mayu atuq	Lobo-guará
Mamaqucha yaku	Água do mar
São Bernardo do Campo	São Bernardo do Campo
Guarulhos	Guarulhos
Aya wantu	Caixão
Jorge Amado	Jorge Amado
Yura qara	Súber
Sirk'a iskuyay	Arteriosclerose
Wiraqucha michikuna	The Aristocats
K'iri	Ferida
Contae Mhuineacháin	Condado de Monaghan
Achi Tayta iskay ñiqin piti	The Godfather: Part II
Ipswich	Ipswich
Kuyuchisqa siq'isqa	Animação tradicional
Wiskul	Cathartidae
Hastings Banda	Hastings Kamuzu Banda
Kaposvár	Kaposvár
Inlish pinkuyllu	Corne inglês
Miguel de Unamuno	Miguel de Unamuno
Carlos Menem	Carlos Saúl Menem
Olivia Newton-John	Olivia Newton-John
Wachachiq	Obstetriz
Piraña	Piranha
Khipu q'aytu	Quipo
Utuyu	Otuyo
Dennis Bergkamp	Dennis Bergkamp
Sara (sut'ichana)	Sara (desambiguação)
Añaka	Bala (doce)
Hefei	Hefei
Wanu	Estrume
Sut'u	Gota (líquido)
Isaac Albéniz	Isaac Albéniz
Hibon	Gibão
Carmen (taki aranway)	Carmen
