আফ্রিকা	África
কান চলচ্চিত্র উৎসব	Festival de Cannes
নীহারিকা	Nebulosa
আন্তর্জাতিক মাতৃভাষা দিবস	Dia Internacional da Língua Materna
কোকোয়া	Cacau
জায়নবাদ	Sionismo
শ্বেত রক্তকণিকা	Leucócito
মিখাইল শলোখভ	Mikhail Sholokhov
ইভো মোরালেস	Evo Morales
.জিআই	.gi
তালিবান	Taliban
আনাক্সিমান্দ্রোস	Anaximandro
নীতিবাক্য	Lema
পার্ল (প্রোগ্রামিং ভাষা)	Perl
আয়রন মেইডেন	Iron Maiden
অ্যাসটেরিক্স	Asterix
ক্যাটি পেরি	Katy Perry
জ্বালানী	Combustível
এইচ জি ওয়েলস	H. G. Wells
মানচিত্রাঙ্কনবিদ্যা	Cartografia
সিন্ধু সভ্যতা	Civilização do Vale do Indo
থমাস মুর	Thomas More
হলুদ (মশলা)	Açafrão-da-terra
লামা (প্রাণী)	Lhama
জেমস ক্যামেরন	James Cameron
কিরা নাইটলি	Keira Knightley
দেশ অনুসারে মুসলমান জনসংখ্যার তালিকা	Islamismo por país
ফ্রেদেরিক মিস্ত্রাল	Frédéric Mistral
সংকর জীব	Híbrido (biologia)
জংলীবিড়াল	Gato-da-selva
.এফকে	.fk
নগাঁও জেলা	Distrito de Nagaon
মোষ	Búfalo-asiático
ফার্নান্দো তরেস	Fernando Torres
রিটা হেওয়ার্থ	Rita Hayworth
ওয়াটারগেট কেলেঙ্কারি	Caso Watergate
জীবমণ্ডল	Biosfera
.জিপি	.gp
অড্রে হেপবার্ন	Audrey Hepburn
.জিএফ	.gf
বড়বুদুর	Borobudur
দাড়ি	Barba
লিগুয়ারীয় সাগর	Mar Lígure
ইভান তুর্গেনেভ	Ivan Turgueniev
.ওয়াইই	.ye
উপাত্ত	Dados
ঘুড়ি	Pipa (brinquedo)
.ডব্লিউএস	.ws
নিকোলাস কেজ	Nicolas Cage
যানবাহন	Veículo
কৃষ্ণ	Krishna
নির্বাণ	Nirvana
আগ্রা	Agra (Índia)
সার্ন	Organização Europeia para a Pesquisa Nuclear
দেয়াল	Muro
থর	Thor
তেল	Óleo
মৌসুমি বায়ু	Monção
অ্যামনেস্টি ইন্টারন্যাশনাল	Anistia Internacional
স্থপতি	Arquiteto
অক্টোবর বিপ্লব	Revolução de Outubro
বেসিক (প্রোগ্রামিং ভাষা)	BASIC
ইভান পাভলভ	Ivan Pavlov
টপোগণিত	Topologia (matemática)
সর্বপ্রাণবাদ	Animismo
উল্কি	Tatuagem
জোঁক	Sanguessuga
ফাইন্যান্স	Finanças
হাজার	Mil
আর্টেমিসের মন্দির	Templo de Ártemis
শর্ট মেসেজ সার্ভিস	Serviço de mensagens curtas
এডুইন হাবল	Edwin Powell Hubble
খ্রিস্টপূর্ব ৩৫৬	356 a.C.
ডেসমন্ড টুটু	Desmond Tutu
তড়িৎ ও ইলেকট্রনিক প্রকৌশল	Engenharia elétrica
জর্জ বুশ (দ্ব্যর্থতা নিরসন)	George Bush
হিমোগ্লোবিন	Hemoglobina
ডেমি মুর	Demi Moore
স্নায়ুকোষ	Neurónio
দ্বিতীয় বিশ্বযুদ্ধে অক্ষশক্তি	Potências do Eixo
খরা	Seca
গোল মরিচ	Pimenta-preta
লিখনবিধি	Ortografia
কাশ্মীর	Caxemira
বোসন	Bóson
এলব্রুস পর্বত	Monte Elbrus
আকিদো	Aikido
মৌলিক কণা	Partícula elementar
উইকিপিডিয়া:প্রায়শ জিজ্ঞাসিত প্রশ্ন	Ajuda:FAQ
কেভিন রাড	Kevin Rudd
.সিএক্স	.cx
.জিইউ	.gu
লাইকেন	Líquen
সারাহ প্যালিন	Sarah Palin
.জিএস	.gs
জাপানের জাতীয় পতাকা	Bandeira do Japão
ক্লোরোফিল	Clorofila
এরাতোস্থেনেস	Eratóstenes
বীমা	Seguro
বদ্বীপ	Delta
ওমাহা	Omaha (Nebraska)
উভকামিতা	Bissexualidade
ক্লিন্ট ইস্টউড	Clint Eastwood
এপিকুরোস	Epicuro
আলেকজান্দ্রিয়ার বাতিঘর	Farol de Alexandria
গেস্টাপো	Gestapo
সোফিয়া লরেন	Sophia Loren
মোরাভিয়া	Morávia
চার্লস, প্রিন্স অব ওয়েলস	Carlos, Príncipe de Gales
ভিক্টোরিয়া জলপ্রপাত	Cataratas Vitória
নিউরাল নেটওয়ার্ক	Redes neurais biológicas
জার্মান সাম্রাজ্য	Império Alemão
তালমুদ	Talmude
সুলতান	Sultão
জন ম্যাক্সওয়েল কুতসি	J. M. Coetzee
টাইম (সাময়িকী)	Time (revista)
ফ্রেসনো	Fresno
বায়ুশক্তি	Energia eólica
ম্যালকম এক্স	Malcolm X
জার্মানি জাতীয় ফুটবল দল	Seleção Alemã de Futebol
পম্পেই	Pompeia
লোক সংগীত	Música folclórica
জালাল উদ্দিন মুহাম্মদ রুমি	Jalal ad-Din Muhammad Rumi
এমটিভি	MTV
হ্যারি পটার অ্যান্ড দ্য ফিলোসফার্স স্টোন	Harry Potter e a Pedra Filosofal
কাক	Corvo
ডিসকভারি চ্যানেল	Discovery Channel
প্রদর্শনকামনা	Exibicionismo
এসপ	Esopo
খ্রিষ্টপূর্ব ৩২২	322 a.C.
চণ্ডীগড়	Chandigarh
মুক্তা	Pérola
জিওসুয়ে কার্দুচ্চি	Giosuè Carducci
স্ত্রী	Fêmea
বিছে	Quilópode
ক্রিয়েটিভ কমন্স	Creative Commons
জিমন্যাস্টিকস	Ginástica
ফেরদৌসী	Ferdusi
ফর্তালিজা	Fortaleza
ইন্দোচীন	Indochina
অ্যাংকর ভাট	Angkor Wat
ডার্বি	Derby (Derbyshire)
আমেদেও আভোগাদ্রো	Amedeo Avogadro
প্রাকৃতিক নির্বাচন	Seleção natural
ফ্রাঙ্ক জাতি	Francos
চিড়িয়াখানা	Jardim zoológico
ডোডো	Raphus cucullatus
নাইটউইশ	Nightwish
কে২	K2
পান্না	Esmeralda
আপেক্ষিকতা তত্ত্ব	Teoria da relatividade
সমুদ্রবিদ্যা	Oceanografia
ভূতাত্ত্বিক সময়	Escala de tempo geológico
অ্যান্থনি ভন লিউয়েনহুক	Anton van Leeuwenhoek
গেরহার্ট হাউপ্টমান	Gerhart Hauptmann
স্ফটিক	Cristal
বনবিড়াল	Gato-bravo
ফ্রেঞ্চ ওপেন	Torneio de Roland-Garros
ওডিন	Odin
মমি	Múmia
পরিবেশ	Meio ambiente
ম্যাক ওএস	Mac OS
লাইডেন	Leida
হাইড্রোকার্বন	Hidrocarboneto
অ্যাপোলো ১১	Apollo 11
কোলেস্টেরল	Colesterol
থমাস মুলার	Thomas Müller
লুভল	Louisville
ফিলিপ লাম	Philipp Lahm
জঁ রেনো	Jean Reno
বারমুডা ট্রায়াঙ্গেল	Triângulo das Bermudas
নিকোলাই গোগোল	Nikolai Gogol
আন্দ্রেস ইনিয়েস্তা	Andrés Iniesta
ইয়াসুনারি কাওয়াবাতা	Yasunari Kawabata
মরুদ্যান	Oásis
গের্ড ম্যুলার	Gerd Müller
টার্কি	Peru (ave)
.এইচএম	.hm
আরিয়েন রোবেন	Arjen Robben
আদিয়ামান প্রদেশ	Adıyaman (província)
আন্দ্রেয়া পিরলো	Andrea Pirlo
অকহামের উইলিয়াম	Guilherme de Ockham
হামিদ কারজাই	Hamid Karzai
ইয়োসেফ ফন ফ্রাউনহোফার	Joseph von Fraunhofer
জ্যাক দা রিপার	Jack, o Estripador
মুহাম্মদ ইউনূস	Muhammad Yunus
রাসপুতিন	Grigori Rasputin
থিওডোর হের্জল	Theodor Herzl
খ্রিষ্টপূর্ব ৩৮৪	384 a.C.
লা প্লাতা	La Plata
রিজ উইদারস্পুন	Reese Witherspoon
ইউরি আন্দ্রোপভ	Iúri Andropov
জেসিকা অ্যালবা	Jessica Alba
ড্যান শেচতম্যান	Dan Shechtman
সাইরিন, লিবিয়া	Cirene (cidade)
সার্ভার (কম্পিউটিং)	Servidor
ভের্নার হের্ৎসগ	Werner Herzog
পুরুষ	Macho
মেসোলিথিক	Mesolítico
ইঞ্জিন	Motor
রেডিওহেড	Radiohead
ম্যাক্সিমিলিয়েন দ্য রোবসপিয়ের	Maximilien de Robespierre
বিলি দ্য কিড	Billy the Kid
ক্রোনোস	Cronos
অ্যান্ডার্স বেহরিং ব্রেইভিক	Anders Behring Breivik
শন পেন	Sean Penn
চন্দ্রগ্রহণ	Eclipse lunar
উসুয়াইয়া	Ushuaia
সেন্ট নিকোলাস	Nicolau de Mira
মিশেল ফুকো	Michel Foucault
খ্রিস্টপূর্ব ৩২৩	323 a.C.
রুডল্‌ফ ম্যোসবাউয়ার	Rudolf Mössbauer
ফোর্ড মোটর কোম্পানি	Ford Motor Company
বাস্তিয়ান শোয়েনস্টেইগার	Bastian Schweinsteiger
জিম মরিসন	Jim Morrison
সালমান রুশদি	Salman Rushdie
জিহাদ	Jihad
গনোম	GNOME
থ্রিলার	Thriller
আলজেরিয়ার ভূগোল	Geografia da Argélia
বাশার আল-আসাদ	Bashar al-Assad
মেট্রিক্স	Matriz (matemática)
কিংবদন্তি	Lenda
জার	Czar
ফার্মিয়ন	Férmion
ভ্যালেন্তিনা তেরেসকোভা	Valentina Tereshkova
হেফাইস্তুস	Hefesto
প্যাস্কেল (একক)	Pascal (unidade)
হাইনরিশ হাইনে	Heinrich Heine
রাসায়নিক বন্ধন	Ligação química
তাপ	Calor
জন সেনা	John Cena
গোল্ডেন গেট ব্রিজ	Ponte Golden Gate
ক্রীড়া তত্ত্ব	Teoria dos jogos
পল ব্রাইটনার	Paul Breitner
রিচার্ড ডকিন্স	Richard Dawkins
রুডি ফোলার	Rudi Völler
উয়ে সিলার	Uwe Seeler
বর্শা	Lança
পিয়ের সিমোঁ লাপ্লাস	Pierre Simon Laplace
দ্য গ্রেট খালি	The Great Khali
হাইপারটেক্সট ট্রান্সফার প্রোটোকল সিকিউর	HTTPS
খনন	Mineração
সেলমা লাগেরলফ	Selma Lagerlöf
সদিক রাশি	Vetor (matemática)
আরেসিবো মানমন্দির	Radiotelescópio de Arecibo
বহির্গ্রহ	Exoplaneta
গনু	GNU
টাইটানিক (১৯৯৭-এর চলচ্চিত্র)	Titanic (1997)
রসায়নে নোবেল পুরস্কার	Nobel de Química
বিদ্যাধর সূর্যপ্রসাদ নাইপল	Vidiadhar Naipaul
আর্নস্ট অটো ফিশার	Ernst Otto Fischer
ক্যানিবালিজম	Antropofagia
কাসপার হুসার	Kaspar Hauser
ভীতি	Medo
তিন পাশা	Três Paxás
হোভানিজ দাভতিয়ান	Hovhannes Davtyan
ফেডারেশন অব আরব রিপাবলিকস	Federação das Repúblicas Árabes
পক্ষীবিজ্ঞান	Ornitologia
বেরিং সাগর	Mar de Bering
জলবসন্ত	Varicela
ফ্রান্সিসকো পিসার্‌রো	Francisco Pizarro
অনিশ্চয়তা নীতি	Princípio da incerteza de Heisenberg
খ্রিষ্টপূর্ব ৩৪৭	347 a.C.
বন্দর	Porto (transporte)
তুঁত	Morus
গাগ্‌রা	Gagra
হ্যাংসন ডুং	Son Doong
.ডব্লিউএফ	.wf
অ্যালেক্স ফার্গুসন	Alex Ferguson
টালসা, ওকলাহোমা	Tulsa
অক্সফোর্ড ইংরেজি অভিধান	Oxford English Dictionary
এনট্রপি	Entropia
মাছরাঙ্গা	Guarda-rios
গ্রিসের অর্থনীতি	Economia da Grécia
মিখাইল মিয়াসনিকোভিচ	Mikhail Miasnikovich
গয়াল	Bos frontalis
হারম্যান মেইনার	Hermann Gmeiner
তিসি	Linho
সিরিয়ার জাতীয় পতাকা	Bandeira da Síria
সিডনি অপেরা হাউস	Ópera de Sydney
কোল্ডপ্লে	Coldplay
সিমেন্ট	Cimento
মাঝি	Marinheiro
আফিয়নকারাহিসার প্রদেশ	Afyonkarahisar (província)
জ্যাক এফ্রন	Zac Efron
অস্ট্রালেশিয়া	Australásia
সম্ভাব্যতা অপেক্ষক	Função de verossimilhança
হেরত	Herat
বার্বা‌র জাতি	Berberes
দ্য ডোর্‌স	The Doors
হ্যালিকারনেসাসের সমাধি মন্দির	Mausoléu de Halicarnasso
অভ্যুত্থান	Golpe de Estado
জলদস্যুতা	Pirata
ব্রহ্মপুত্র নদ	Rio Bramaputra
ইস্ট	Levedura
আরএসএস	RSS
ব্রিটিশ কাউন্সিল	British Council
ভূত	Fantasma
উইলিয়াম ওয়ার্ডসওয়ার্থ	William Wordsworth
ফের্নান্দো মোরিয়েন্তেস	Fernando Morientes
ডেনিস রিচি	Dennis Ritchie
মার্কিন প্রেসিডেন্ট নির্বাচন, ২০০৮	Eleição presidencial nos Estados Unidos em 2008
বৈষ্ণবধর্ম	Vixnuísmo
কান্দাহার (শহর)	Candaar
পল স্কোল্‌স	Paul Scholes
রুড ভান নিস্টেলরুই	Ruud van Nistelrooy
ইউক্যালিপটাস	Eucalipto
দ্য লাস্ট স্ট্যান্ড	O Último Desafio
তিতান	Titã
বিশ্বনাথন আনন্দ	Viswanathan Anand
কাঁঠাল	Artocarpus heterophyllus
জ্যাক লন্ডন	Jack London
অ্যাকোয়ারিয়াম	Aquário
কিম দায়ে জং	Kim Dae-jung
সত্যেন্দ্রনাথ বসু	Satyendra Nath Bose
রাজা আর্থার	Rei Artur
গানপাউডার প্লট	Conspiração da pólvora
জন ম্যাকাফি	John McAfee
থিয়েরি অঁরি	Thierry Henry
মোহামেদ হুসেইন তানতায়ুই	Mohamed Hussein Tantawi
মাথাপিছু আয়	Renda per capita
আন্নাবা	Annaba
অঙ্গাণু	Organelo
লালকেল্লা	Forte Vermelho
পার্সিফোন	Perséfone
চেসোয়াফ মিওশ	Czesław Miłosz
রিদম এ্যান্ড ব্লুজ	Rhythm and blues
লাওসের জাতীয় পতাকা	Bandeira do Laos
আন্ডার্স ফগ রাসমুসেন	Anders Fogh Rasmussen
দাদরা ও নগর হাভেলি	Dadrá e Nagar-Aveli
উইঘুর জাতি	Uigures
উইলিয়াম আলফ্রেড ফাওলার	William Alfred Fowler
পাতি তুতি	Pintarroxo-vermelho
খ্রিষ্টপূর্ব ২১২	212 a.C.
মানবতাবাদ	Humanismo
জাতীয় উদ্যান	Parque nacional
মন্তরসো ভিচেন্তিনো	Montorso Vicentino
আন্তর্জাতিক বাস্কেটবল সংস্থা	Federação Internacional de Basquetebol
আর্ডভার্ক	Orictéropo
তড়িৎ ক্ষেত্র	Campo elétrico
অলিম্পিয়ার জিউসের মূর্তি	Estátua de Zeus em Olímpia
গতিশক্তি	Energia cinética
অ্যাক্সেস সময়	Tempo de acesso
কিয়াম্পো	Chiampo
খ্রিষ্টপূর্ব ১৯৪	194 a.C.
টাইপ রাইটার	Máquina de escrever
পাত্রিক ভিয়েইরা	Patrick Vieira
কচ্ছপ	Testudinidae
এদ্‌গার দ্যগা	Edgar Degas
মাইক্রোফোন	Microfone
ইয়র্নস্টার্ন ইয়র্নসেন	Bjørnstjerne Bjørnson
বলিভিয়ার ভাষা	Idiomas da Bolívia
ইবনুল আরাবী	Ibn Arabi
ওসাইরিস	Osíris
হুয়ান সেবাস্তিয়ান ভেরন	Juan Sebastián Verón
পুলিৎজার পুরস্কার	Prémio Pulitzer
দ্য প্রেস্টিজ (চলচ্চিত্র)	The Prestige
সিন্দগি	Sindgi
মুক্ত বাজার	Mercado livre
অ্যাপোলো (মহাশূন্য মিশন)	Programa Apollo
চার্লস ব্যাবেজ	Charles Babbage
লিঙ্গসুগুর	Lingsugur
পাইরেটস অফ দ্য ক্যারিবিয়ান: দ্য কার্স অফ দ্য ব্ল্যাক পার্ল	Pirates of the Caribbean: The Curse of the Black Pearl
ভ্যাম্পায়ার	Vampiro
অ্যামিবা	Amoeba
দারফুর	Darfur
অক্তাবিও পাজ	Octavio Paz
সেনদাই	Sendai
হ্যারি পটার অ্যান্ড দ্য গবলেট অফ ফায়ার	Harry Potter e o Cálice de Fogo
হ্যারি পটার অ্যান্ড দ্য ডেথলি হ্যালোস	Harry Potter and the Deathly Hallows
ওয়াঙ্গেরী মাথেই	Wangari Maathai
আহমদ শাহ দুররানি	Ahmad Shah Durrani
ভগবদ্গীতা	Bagavadguitá
দ্য টাইমস অব ইন্ডিয়া	The Times of India
রাউল কাস্ত্রো	Raúl Castro
রবার্ট হুক	Robert Hooke
উদ্বৃত্তপত্র	Balanço patrimonial
অস্ট্রিয়ার জাতীয় পতাকা	Bandeira da Áustria
লেনা নদী	Rio Lena (Rússia)
বৈজ্ঞানিক পদ্ধতি	Método científico
তিব্বতি লিপি	Alfabeto tibetano
হ্যারি পটার অ্যান্ড দ্য হাফ-ব্লাড প্রিন্স	Harry Potter and the Half-Blood Prince
জালাটান ইভ্রাহিমোভিচ	Zlatan Ibrahimović
গ্লোবাল সিস্টেম ফর মোবাইল কমিউনিকেশন্‌স	GSM
খালেদ মিশাল	Khalid Meshal
১৯৮৬ ফিফা বিশ্বকাপ	Copa do Mundo FIFA de 1986
রুবিক’স কিউব	Cubo de Rubik
নেদারল্যান্ডস জাতীয় ফুটবল দল	Seleção Neerlandesa de Futebol
ঐশ্বরিয়া রাই বচ্চন	Aishwarya Rai
ওহম	Ohm
আর্থার সি ক্লার্ক	Arthur C. Clarke
ভূ-চ্যুতি	Falha geológica
ধর্ষণ	Estupro
এনরিক ইগলেসিয়াস	Enrique Iglesias
ব্রাহ্মণ (বর্ণ)	Brâmane
আতাকামা মরুভূমি	Deserto de Atacama
যজুর্বেদ	Iajurveda
ব্যবহারকারি ইন্টারফেস	Interface do utilizador
মেরি শেলি	Mary Shelley
লুক্রেতিউস	Lucrécio
রোম্যাঁ রোলাঁ	Romain Rolland
হ্যারি পটার অ্যান্ড দ্য চেম্বার অফ সিক্রেটস	Harry Potter e a Câmara Secreta
ওয়ারেন বাফেট	Warren Buffett
কন্ডোলিৎসা রাইস	Condoleezza Rice
ট্যাক্সি ড্রাইভার	Taxi Driver
জন্মদিন	Aniversário
কামসূত্র	Kama Sutra
অডিসিউস	Odisseu
এলফ্রিডে ইয়েলিনেক	Elfriede Jelinek
ক্লোরোপ্লাস্ট	Cloroplasto
কেপলার মিশন	Kepler (sonda espacial)
কেন্দ্রীয় স্নায়ুতন্ত্র	Sistema nervoso central
আব্রাহামীয় ধর্ম	Religiões abraâmicas
জে জে টমসন	Joseph John Thomson
এরিখ মারিয়া রেমার্ক	Erich Maria Remarque
কেপলার-২২বি	Kepler-22b
খ্রিষ্টপূর্ব ২৮৭	287 a.C.
কিয়োটো প্রোটোকল	Protocolo de Quioto
মারি এন্তনে	Maria Antonieta
জাতিসংঘ সাধারণ পরিষদ	Assembleia Geral das Nações Unidas
মিল্টন ফ্রিড্‌ম্যান	Milton Friedman
এডমান্ড হ্যালি	Edmond Halley
আলহাম্বরা	Alhambra
স্বামী বিবেকানন্দ	Swami Vivekananda
পল দিরাক	Paul Dirac
আন্দ্রে জিদ	André Gide
আন্তর্জাতিক অপরাধী আদালত	Corte Penal Internacional
গাজা সিটি	Gaza
আন্তর্জাতিক শ্রমিক দিবস	Dia do Trabalhador
মা দিবস	Dia das Mães
কম্পাইলার	Compilador
অ্যাসিটিক এসিড	Ácido etanoico
ছড়া	Córrego
জিকো	Zico
রাডার	Radar
আনুবিস	Anúbis
বীভার	Castor
অর্গানাইজেশন অব ইসলামিক কনফারেন্স	Organização para a Cooperação Islâmica
ভিক্তর ভালদেস	Víctor Valdés
ইভো আন্দ্রিচ	Ivo Andrić
পরিমাপের একক	Unidade de medida
আর্সেন ওয়েঙ্গার	Arsène Wenger
ফিবোনাচ্চি রাশিমালা	Sequência de Fibonacci
এএলএইচ৮৪০০১	ALH 84001
বেলেঁ (ব্রাজিল)	Belém (Pará)
শিকাগো ট্রিবিউন	Chicago Tribune
হ্যারি পটার অ্যান্ড দ্য প্রিজনার অফ আজকাবান	Harry Potter e o Prisioneiro de Azkaban
মাসিমো দালেমা	Massimo d'Alema
এমএস-ডস	MS-DOS
এসকিউএল	SQL
নাডিন গর্ডিমার	Nadine Gordimer
আন্দামান সাগর	Mar de Andamão
খ্রিষ্টপূর্ব ২৭৬	276 a.C.
ভেনাস	Vênus (mitologia)
রক্তগ্রুপ	Grupo sanguíneo
ক্যাথেরিন জেটা জোন্স	Catherine Zeta-Jones
ব্ল্যাক সাবাথ	Black Sabbath
ব্যাবিলনিয়া	Babilônia (região)
রুডল্‌ফ ক্রিস্টোফ ইউকেন	Rudolf Eucken
কালাহারি মরুভূমি	Kalahari
পেপসি	Pepsi
ব্রকলি	Brócolis
শখ	Passatempo
২০০২ ফিফা বিশ্বকাপ	Copa do Mundo FIFA de 2002
কাহলিল জিবরান	Khalil Gibran
মুসলিম	Muçulmano
ইমরে কার্তেজ	Imre Kertész
ইংল্যান্ড জাতীয় ফুটবল দল	Seleção Inglesa de Futebol
ব্লু-রে ডিস্ক	Disco blu-ray
ফ্রান্স জাতীয় ফুটবল দল	Seleção Francesa de Futebol
ধনুষ্টঙ্কার	Tétano
নাওতো কান	Naoto Kan
প্রতিভা দেবীসিংহ পাটিল	Pratibha Patil
প্রাচীন আরব	Arábia pré-islâmica
আরমাডিলো	Dasypodidae
৩৩৯	339
৩৪০	340
ভারতীয় গণ্ডার	Rinoceronte-indiano
ফুসফুসের ক্যান্সার	Câncer de pulmão
গোয়েন্দা সংস্থা	Serviço de inteligência
লখনউ	Lucknow
৩৫৪	354
সার্কাস	Circo
৩৫৬	356
৩৫৮	358
৩৬১	361
৩৬৩	363
৩৬৪	364
৩৬৮	368
৩৬৯	369
৩৭০	370
৩৭১	371
টেমপ্লেট:কমন্স বিষয়শ্রেণী	Predefinição:Commonscat
৩৭৬	376
৩৭৭	377
৩৭৮	378
৩৮৩	383
৩৮৪	384
৩৮৮	388
টর্ক	Torque
৩৮৯	389
৩৯০	390
৩৯১	391
৩৯২	392
৩৯৩	393
৩৯৪	394
৩৯৫	395
৩৯৬	396
৩৯৭	397
মেনিনজাইটিস	Meningite
৩৯৮	398
৩৯৯	399
সিটি অফ ম্যানচেস্টার স্টেডিয়াম	City of Manchester Stadium
শঙ্খচূড়	Cobra-real
এরিক ক্ল্যাপটন	Eric Clapton
মালিকি	Maliquismo
রালফ ওয়াল্ডো এমারসন	Ralph Waldo Emerson
পলক (চোখ)	Pálpebra
ইদি আমিন	Idi Amin
মাইন কাম্ফ	Mein Kampf
ফকল্যান্ডস যুদ্ধ	Guerra das Malvinas
ফেডোরা (লিনাক্স ডিস্ট্রিবিউশন)	Fedora Linux
আন্তর্জাতিক প্রকৃতি ও প্রাকৃতিক সম্পদ সংরক্ষণ সংঘ	União Internacional para a Conservação da Natureza e dos Recursos Naturais
লিঙ্গ	Género (sociedade)
মেদেয়িন	Medellín
মারিয়ান ফেইথফুল	Marianne Faithfull
মার্টিন হাইডেগার	Martin Heidegger
ইউরিয়া	Ureia
কৌবে	Kōbe
নৈতিকতা	Moral
বেউলফ	Beowulf
রবের্তো মানচিনি	Roberto Mancini
হিরাগানা	Hiragana
চালতা	Maçã-de-elefante
তুরস্কের প্রদেশসমূহ	Províncias da Turquia
মরগান ফ্রিম্যান	Morgan Freeman
সিএনএন	CNN
হেসিফি	Recife
সাম্রাজ্য	Império
মালাক্কা প্রণালী	Estreito de Malaca
মহাযান	Maaiana
ম্যাজেলান প্রণালী	Estreito de Magalhães
ইউরোপের ভাষা	Línguas da Europa
অমৃতসর	Amritsar
আলবেনিয়ার জাতীয় পতাকা	Bandeira da Albânia
ফ্রি সফটওয়্যার ফাউন্ডেশন	Free Software Foundation
শিকারী পাখি	Ave de rapina
১৯৩০ ফিফা বিশ্বকাপ	Copa do Mundo FIFA de 1930
নিউ হরাইজনস	New Horizons
ভয়েজার ১	Voyager 1
ভয়েজার ২	Voyager 2
কিউরিওসিটি রোভার	Rover Curiosity
আইওএস	IOS
মার্স সায়েন্স ল্যাবরেটরি	Mars Science Laboratory
মির	Mir
ওজনশূন্যতা	Microgravidade
লি হার্ভে অসওয়াল্ড	Lee Harvey Oswald
শাখারভ পুরস্কার	Prémio Sakharov
কেনেডি স্পেস সেন্টার	Centro Espacial John F. Kennedy
দিদিয়ের দ্রগবা	Didier Drogba
গ্লেন থিওডোর সিবোর্গ	Glenn Theodore Seaborg
আর্চার জন পোর্টার মার্টিন	Archer John Porter Martin
রিচার্ড লরেন্স মিলিংটন সিঞ্জ	Richard Laurence Millington Synge
লিনাস পাউলিং	Linus Pauling
চ্যরিল নরমান হিঙ্ঘলিউড	Cyril Norman Hinshelwood
জোনাথন ডেমি	Jonathan Demme
চন্দ্র এক্স-রশ্মি মানমন্দির	Observatório de raios-X Chandra
মৌলিক সংখ্যা	Número primo
চন্দ্রযান-১	Chandrayaan-1
ভেনিস চলচ্চিত্র উৎসব	Festival de Veneza
হেডি লেমার	Hedy Lamarr
কুর্ট ভনেগাট	Kurt Vonnegut
ছয় দিনের যুদ্ধ	Guerra dos Seis Dias
আইজাক বাবেল	Isaac Babel
ছোটগল্প	Conto
কলাম্বিয়া ইউনিভার্সিটি	Universidade Columbia
১৯৪৮ আরব-ইসরায়েলি যুদ্ধ	Guerra árabe-israelense de 1948
১৯৭৩ আরব-ইসরায়েলি যুদ্ধ	Guerra do Yom Kipur
ম্যাসাচুসেট্‌স ইনস্টিটিউট অফ টেকনোলজি	Instituto de Tecnologia de Massachusetts
বস্টন বিশ্ববিদ্যালয়	Universidade de Boston
ইয়েল বিশ্ববিদ্যালয়	Universidade Yale
আইভি লীগ	Ivy League
ব্রাউন বিশ্ববিদ্যালয়	Universidade Brown
কর্নেল ইউনিভার্সিটি	Universidade Cornell
পেন্সিল্‌ভেনিয়া বিশ্ববিদ্যালয়	Universidade da Pensilvânia
তোশিবা	Toshiba
হার্ভার্ড বিজনেস স্কুল	Harvard Business School
২৭৯	279
৪৪০	440
৫৭২	572
পোর্টল্যান্ড, মেইন	Portland (Maine)
নিউ ইয়র্ক ইউনিভার্সিটি	Universidade de Nova Iorque
টেক্সাস এ অ্যান্ড এম ইউনিভার্সিটি	Texas A&M University
ইউনিভার্সিটি অব টেক্সাস অ্যাট অস্টিন	Universidade do Texas em Austin
রচেস্টার, নিউ ইয়র্ক	Rochester (Nova Iorque)
প্যান্টি	Calcinha
অস্ট্রোনেশীয় ভাষাসমূহ	Línguas austronésias
কলোরাডো স্প্রিংস	Colorado Springs
ভার্জিনিয়া বিচ	Virginia Beach
মেসা	Mesa (Arizona)
মেদস্যাঁ সঁ ফ্রন্তিয়া	Médicos sem Fronteiras
মেলভিন কেলভিন	Melvin Calvin
রবার্ট রবিনসন	Robert Robinson
পর্যটন	Turismo
গণবিধ্বংসী অস্ত্র	Arma de destruição em massa
কসমিক ব্যাকগ্রাউন্ড এক্সপ্লোরার	COBE
দ্যাগু সাবওয়ে	Metrô de Daegu
শিঙ্গু নদী	Rio Xingu
ডাকনাম	Alcunha
কোরিয়ার ওয়ার্কার্স পার্টি	Partido dos Trabalhadores da Coreia
নাস্তিকদের তালিকা	Lista de não teístas
লক নেস দানব	Monstro do lago Ness
সার্হিও বুস্কেৎস্	Sergio Busquets
হাওয়াই মিঠাই	Algodão-doce
দন্তমূলীয় ব্যঞ্জনধ্বনি	Consoante alveolar
ডানা স্টুয়ার্ট স্কট	Dana Scott
অ্যান্ডি রুবিন	Andy Rubin
বায়ুকল	Aerogerador
দ্য টাইমস	The Times
জন স্টুয়ার্ট মিল	John Stuart Mill
জলরঙ	Aguarela
ডায়ার স্ট্রেইট্‌স	Dire Straits
জ্যোতির্বিজ্ঞানের ইতিহাস	História da astronomia
লোহিত দানব	Gigante vermelha
ট্রয়ের ঘোড়া	Cavalo de Troia
চীনের প্রশাসনিক বিভাজন	Subdivisões da República Popular da China
কার্লোস তেবেস	Carlos Tévez
ম্যানচেস্টার সিটি ফুটবল ক্লাব	Manchester City Football Club
পার্ক জি-সুং	Park Ji-Sung
