非洲	África
Vî-sṳ̂-không-sîn	Wisconsin
Oi-hò-fà	Iowa
Nui-pu-lâ-sṳ̂-kâ	Nebraska
Khâm-sat-sṳ̂	Kansas
Yin-thi-ngî	Língua hindi
Me̍t-sû-lî	Missouri
Lu-yi-sṳ̂-ôn-ná	Luisiana
Khén-thap-kî	Kentucky
Â-khén-set	Arkansas
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahoma
Pet-hói	Mar do Norte
Mo̍k-sṳ̂-khô-chû	Oblast de Moscou
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hanôver
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Mu-nì-het	Munique
Erfurt	Erfurt
Dresden	Dresden
Kaliningrad-chû	Oblast de Kaliningrado
Murmansk-chû	Oblast de Murmansk
Kak-than-sṳ̂-khiet	Gdańsk
Fap-làn-khiet-fuk	Frankfurt am Main
Fut-lò-tshṳ-ngá-fû	Breslávia
Làn	Lantânio
Ki (鉕)	Promécio
Sân	Samário
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Achém
Nga̍t (釓)	Gadolínio
Thi̍t (鋱)	Térbio
Tit (鏑)	Disprósio
Sṳn-kîn	Bíblia
Fó	Hólmio
Ngí (鉺)	Érbio
Tiû	Túlio
Yi	Itérbio
Liu	Lutécio
Hò-nui-sṳ	Hanói
Chṳ̂n Yâ-sû Kau-fi	Verdadeira Igreja de Jesus
Yîn-ngî	Língua inglesa
Màn-kuk	Banguecoque
Kit-lùng-po	Kuala Lumpur
Pâng-kâ Vú-lî-thung-sén	Bangka-Belitung
Thòi-pet-sṳ	Taipé
Mî (鋂)	Amerício
Arkhangelsk-chû	Oblast de Arkhangelsk
Khiu̍k	Cúrio
Thùng-hói-sṳ	Dong Hoi
Concepción	Concepción (Chile)
Pet (鉳)	Berquélio
Khà (鉲)	Califórnio
Mìn-kú-lû-sén	Bengkulu
Oi	Einstênio
Fi	Férmio
Mùn	Mendelévio
Na	Nobélio
Ontario-sén	Ontário
Lò	Laurêncio
Karelia Khiung-fò-koet	República da Carélia
Końskowola	Końskowola
2002-ngièn	2002
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Jambi
Komi Khiung-fò-koet	República de Komi
Nâm-póng-sén	Lampung
Pet Sû-mùn-tap-lia̍p-sén	Sumatra Setentrional
Syktyvkar	Syktyvkar
Québec-sṳ	Quebec (cidade)
Nenets Chhṳ-chhṳ-khî	Nenétsia
Liàu-nui-sén	Riau (província)
Leningrad-chû	Oblast de Leningrado
Pskov-chû	Oblast de Pskov
Liàu-nui Khiùn-tó-sén	Ilhas Riau
Nizhny Novgorod-chû	Oblast de Níjni Novgorod
Nàm Sû-mùn-tap-lia̍p-sén	Sumatra Meridional
Lò-mâ Ti-koet	Império Romano
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Oblast de Tver
Khù-lû-fû	Kurów
Fa-ho̍k	Química
Smolensk-chû	Oblast de Smolensk
Yaroslavl-chû	Oblast de Iaroslavl
Kostroma-chû	Oblast de Kostroma
Ivanovo-chû	Oblast de Ivanovo
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Futebol
Ryazan-chû	Oblast de Riazan
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	Sumatra Ocidental
Tula-chû	Oblast de Tula
IPad	IPad
Mâ-tet-lî	Madrid
