Afrika	África
Pokémon	Pokémon
Tajvan	República da China
YouTube	YouTube
Germanij	Germânio
Aristotel	Aristóteles
Tajland	Tailândia
Voz	Trem
Arsen	Arsênio
Radio	Rádio (telecomunicações)
Meryl Streep	Meryl Streep
Turkmenistan	Turquemenistão
Selen	Selênio
Iridij	Irídio
Ujedinjeni Arapski Emirati	Emirados Árabes Unidos
Brom	Bromo
Platina	Platina
Vijetnam	Vietname
Charlie Chaplin	Charlie Chaplin
Novosibirsk	Novosibirsk
Južna Koreja	Coreia do Sul
Józef Piłsudski	Józef Piłsudski
Simpsoni	Os Simpsons
Jekaterinburg	Ecaterimburgo
Kripton	Crípton
Afganistan	Afeganistão
Njižni Novgorod	Níjni Novgorod
J. R. R. Tolkien	J. R. R. Tolkien
Limunada	Limonada
Samara	Samara (Rússia)
Rubidij	Rubídio
Zlato	Ouro
Omsk	Omsk
Sueski kanal	Canal de Suez
Kazanj	Cazã
Bangladeš	Bangladesh
Franz Kafka	Franz Kafka
Rostov na Donu	Rostov do Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufa
Mali	Mali
Sokrat	Sócrates
Volgograd	Volgogrado
Angola	Angola
Perm (grad)	Perm
Butan (država)	Butão
Twitter	Twitter
Krasnojarsk	Krasnoyarsk
Brunej	Brunei
Brač	Brač
Tanzanija	Tanzânia
Živa	Mercúrio (elemento químico)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipini	Filipinas
Srednjoafrička Republika	República Centro-Africana
Talij	Tálio
Južni pol	Polo Sul
Sjeverni pol	Polo Norte
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Stroncij	Estrôncio
Itrij	Ítrio
Bizmut	Bismuto
Žuta	Amarelo
Kvantna mehanika	Mecânica quântica
Togo	Togo
Republika Tunis	Tunísia
Zambija	Zâmbia
Zimbabve	Zimbabwe
Peking	Pequim
Južni Sudan	Sudão do Sul
Vladivostok	Vladivostok
Tuva	Tuva
Benin	Benim
Bocvana	Botswana
Wikivijesti	Wikinotícias
Burkina Faso	Burkina Faso
Burundi	Burundi
Komori	Comores
Republika Kongo	República do Congo
Ob	Rio Ob
Demokratska Republika Kongo	República Democrática do Congo
San Antonio	San Antonio
Džibuti	Djibouti
