आफ्रिकाखण्डः	África
विश्व रेड्क्रास दिनम्	Movimento Internacional da Cruz Vermelha e do Crescente Vermelho
मेरी क्यूरी	Marie Curie
नोबेल् प्रशस्तिः	Prémio Nobel
एलिजबेथ् प्रथमा	Isabel I de Inglaterra
रोजा लक्जेम्बर्ग	Rosa Luxemburgo
रवीन्द्रनाथ ठाकुरः	Rabindranath Tagore
एलेन ट्यूरिंग	Alan Turing
बाड्मिण्टन्-क्रीडा	Badminton
गुस्तावः मालेरः	Gustav Mahler
नात्सी पार्टी	Partido Nacional Socialista dos Trabalhadores Alemães
सिन्धूनदी	Rio Indo
दक्षिणध्रुवीयमहासागरः	Oceano Antártico
हुआंग हे नदी	Rio Amarelo
कर्णः	Orelha
नासिका	Nariz
अक्षि	Olho
एल्फ़्रेड हिचकॉक	Alfred Hitchcock
सस्तनः	Mamíferos
गजः	Elefante
आण्ड्रे अगास्सि	Andre Agassi
डच भाषा	Língua neerlandesa
मार्गरेट थाचर	Margaret Thatcher
डारोति क्रोफट् हाज्किन्	Dorothy Crowfoot Hodgkin
पुष्पशाकम्	Couve-flor
वृन्ताकः	Beringela
इंगमार बर्गमान	Ingmar Bergman
माता	Mãe
१८२८	1828
१८२९	1829
१७४१	1741
१६६२	1662
१७४२	1742
१८३०	1830
१६६३	1663
१८३१	1831
१७४३	1743
१६६४	1664
१६६५	1665
१७४४	1744
१८३२	1832
१६६६	1666
१७४५	1745
१८३३	1833
१६६७	1667
१७४६	1746
परिवहनम्	Transporte
१८३४	1834
१६६८	1668
१७४७	1747
१८३५	1835
१७४८	1748
१८३६	1836
१६६९	1669
लियोनार्ड ओइलर	Leonhard Euler
१६७०	1670
१७४९	1749
१८३७	1837
१६७१	1671
१७५०	1750
१८३८	1838
१६७२	1672
१७५१	1751
१८३९	1839
१६७३	1673
१७५२	1752
१८४०	1840
१६७४	1674
१७५३	1753
१८४१	1841
१७५४	1754
१६७५	1675
१८४२	1842
१७५५	1755
१६७६	1676
१६७७	1677
१७५६	1756
१८४४	1844
१६७८	1678
१७५७	1757
१६७९	1679
१७५८	1758
१८४६	1846
१६८०	1680
१७५९	1759
१८४७	1847
१६८१	1681
१७६०	1760
१८४८	1848
१६८२	1682
१७६१	1761
१८४९	1849
१६८३	1683
१७६२	1762
१८५०	1850
१६८४	1684
१७६३	1763
१८५१	1851
१७६४	1764
१६८५	1685
१८५२	1852
१६८६	1686
१७६५	1765
१८५३	1853
१६८७	1687
१७६६	1766
१८५४	1854
१६८८	1688
१७६७	1767
१८५५	1855
१६८९	1689
१७६८	1768
१८५६	1856
१६९०	1690
१७६९	1769
१६९१	1691
१७७०	1770
१८५८	1858
१६९२	1692
१७७१	1771
१८५९	1859
१६९३	1693
१७७२	1772
१८६०	1860
१७७३	1773
१८६१	1861
१६९४	1694
१६९५	1695
१७७४	1774
१८६२	1862
१६९६	1696
१७७५	1775
१८६३	1863
१६९७	1697
१७७६	1776
१८६४	1864
१६९८	1698
१८६५	1865
१७७७	1777
१६९९	1699
१८६६	1866
१७७८	1778
१७७९	1779
१८६७	1867
१७८०	1780
१८६८	1868
१७८१	1781
१८६९	1869
जलकूर्दनक्रीडा	Salto ornamental
रूसी भाषा	Língua russa
१७८२	1782
१८७०	1870
१७८३	1783
१८७१	1871
व्लाडिमिर पुटिन	Vladimir Putin
१७८४	1784
१८७२	1872
१७८५	1785
१८७३	1873
१७८६	1786
१८७४	1874
१७८७	1787
१८७५	1875
१७८८	1788
१८७६	1876
१७८९	1789
१८७७	1877
१७९०	1790
१८७८	1878
१८७९	1879
१७९१	1791
रोटी	Pão
१७९२	1792
१८८०	1880
१७९३	1793
१८८१	1881
विश्व संस्थानस्य शैक्षणिक, वैज्ञानिक, सांस्कृतिक संस्थानम्	Organização das Nações Unidas para a Educação, a Ciência e a Cultura
होमर सिम्प्सन	Homer Simpson
१७९४	1794
१८८२	1882
१७९५	1795
१८८३	1883
१७९६	1796
१८८४	1884
१७९७	1797
१८८५	1885
१८८६	1886
१७९८	1798
१८८७	1887
१७९९	1799
मार्ज सिम्प्सन	Marge Simpson
१८८८	1888
१८८९	1889
१८९०	1890
म्यागी सिम्प्सन	Maggie Simpson
१८९१	1891
१८९२	1892
१८९३	1893
१८९४	1894
१८९५	1895
१८९६	1896
१८९७	1897
१८९८	1898
चीनी भाषा	Língua chinesa
१८९९	1899
रक्तम्	Sangue
अस्थिपञ्जरः	Esqueleto
फुफ्फुसः	Pulmão humano
हिमप्रपात	Avalancha
भूकम्पः	Sismo
खानिजः	Mineral
सत्यम्	Verdade
मूषकम्	Rato (informática)
प्राकृतिकविज्ञानम्	Ciências naturais
सेर्गे आइसेन्स्टाइन	Serguei Eisenstein
अकिरा कुरोसावा	Akira Kurosawa
फ़्राँक्लिन रुज़वेल्ट	Franklin Delano Roosevelt
अविसेन्न	Avicena
विन्स्टन चर्चिल	Winston Churchill
नेल्सन् मण्डेला	Nelson Mandela
मार्टिन् लूथर् किङ्ग् (ज्यू)	Martin Luther King Jr.
प्राकृतिकी आपद्	Desastre natural
प्लावनम्	Inundação
सुनामी	Tsunami
अग्निपर्वतः	Vulcão
चक्रवातः	Tornado
व्याकरणम्	Gramática
प्रभञ्जन	Ciclone tropical
तेलुगु	Língua telugu
वायुमण्डलम्	Atmosfera
अर्थशास्त्रम् (ग्रन्थः)	Economia
भाषाविज्ञानम्	Linguística
लिपयः	Sistema de escrita
साक्षरता	Alfabetização
विराटनगर	Biratnagar
वर्गः:साहित्यम्	Categoria:Literatura
महाभारतम्	Mahabharata
सिकन्दर महान	Alexandre, o Grande
कान्स्टण्टैन १	Constantino
हस्तकन्दुकक्रीडा	Andebol
सभ्यता	Civilização
ओट्टो वॉन बिस्मार्क	Otto von Bismarck
तैमुरलंग	Tamerlão
पीटर महान (रूस)	Pedro I da Rússia
काफीपेयम्	Café
फलरसः	Suco
क्षीरम्	Leite
पर्वताः	Montanha
हरि रुद नदी	Rio Hari
मरुस्थलीयभूमिः	Deserto
सलाउद्दीन	Saladino
अशोकः	Asoka
अक्बरः	Akbar
साइमन बोलीवार	Simón Bolívar
क्वामे एन्क्रूमाह	Kwame Nkrumah
हांग् कांग् नगरम्	Hong Kong
कराची	Carachi
अरब-इस्रैल सङ्घर्षः	Conflito árabe-israelense
वाल्ट डिज्नी	Walt Disney
आर्किमिडीस्	Arquimedes
थामस् एडिसन्	Thomas Edison
एन्रीको फर्मी	Enrico Fermi
हेन्री फोर्ड	Henry Ford
जोसेफ फोरिए	Jean-Baptiste Joseph Fourier
गेलेन्	Cláudio Galeno
कोषि अगस्टीन् लूयी	Augustin-Louis Cauchy
सत्यजित राय	Satyajit Ray
स्टीवन स्पीलबर्ग	Steven Spielberg
योहानेस केप्लर्	Johannes Kepler
माक्स प्लान्क	Max Planck
निकोला टेस्ला	Nikola Tesla
चाणक्यः	Cautília
गाटफ्रीड् लैबनिट्ज्	Gottfried Wilhelm Leibniz
कार्ल मार्क्स	Karl Marx
विद्या	Conhecimento
लेतुवाभाषा	Língua lituana
हिन्दूधर्मः	Hinduísmo
कुचः	Mama
परमाणुः	Átomo
अर्विन श्रोडिन्गर	Erwin Schrödinger
मिथकशास्त्रं	Mitologia
ताजमहल्	Taj Mahal
आत्मा	Alma
धर्मशास्त्रप्रविभागः	Religião
कोरियालि भाषा	Língua coreana
नारायणी	Narayani (Nepal)
कैंटोनी भाषा	Cantonês
रने देकार्त	René Descartes
वियतनामी भाषा	Língua vietnamita
सिग्मण्ड् फ़्रुड्	Sigmund Freud
थाई भाषा	Língua tailandesa
जैनमतम्	Jainismo
जार्ज विल्हेम फ्रेडरिच हेगेल	Georg Wilhelm Friedrich Hegel
बहासा इंडोनेशिया	Língua indonésia
विश्वपरम्परास्थानानि	Património Mundial
इमान्युएल काण्ट	Immanuel Kant
सिखमतम्	Sikhismo
योगः	Ioga
यकृत्	Fígado
वृक्का	Rim
एडम स्मिथ	Adam Smith
शशः	Coelho
महावीरः	Mahavira
सागरः	Oceano
थामस एक्विनास	Tomás de Aquino
विक्टोरिया	Vitória do Reino Unido
गौतमबुद्धः	Sidarta Gautama
मुहम्मद्	Maomé
चिक्रोड़ः	Esquilo
सचिन तेण्डुलकर	Sachin Tendulkar
ए पि जे अब्दुल् कलाम्	A. P. J. Abdul Kalam
शाहरूख खान	Shahrukh Khan
टोनी ब्लेयर	Tony Blair
कैटरीना कैफ	Katrina Kaif
मार्टिन लूथर	Martinho Lutero
आमिर खान	Aamir Khan
अमिताभ बच्चन	Amitabh Bachchan
नाभिः	Abdómen
बाङ्गला भाषा	Língua bengali
जिह्वा	Língua
नाडी	Nervo
कण्ठः	Pescoço
वक्त्रम्	Boca
अन्त्रम्	Intestino
वक्षःस्थलम्	Peito
एलिज़बेथ २	Isabel II do Reino Unido
डायना राजकुमारी	Diana, Princesa de Gales
कोयम्बत्तूरु	Coimbatore
ऊटी	Udhagamandalam
मैसूरु	Mysore
नीलगिरिपर्वतः	Montes Nilgiri (sul da Índia)
राफेल् नडाल्	Rafael Nadal
राहुल गान्धी	Rahul Gandhi
भारतीयराष्ट्रियकाङ्ग्रेस्	Partido do Congresso Nacional Indiano
भारतीयजनतापक्षः	Partido do Povo Indiano
दीपावलिः	Diwali
होलीपर्व	Holi
पैथागोरस्	Pitágoras
कुम्भोत्सवः	Khumba Mela
रायन गिग्स	Ryan Giggs
टॉम क्लेवेर्ली	Tom Cleverley
एश्ली यंग	Ashley Young
११००	1100
सर्पण-शीलः	Répteis
अन्धता	Cegueira
जीवाणुः	Bactéria
तरुः	Árvore
द्राक्षा	Uva
मधु (आहारपदार्थः)	Mel
आलुकम्	Batata
शर्करा	Açúcar
शाकानि	Hortaliça
सोयामाषः	Soja
सञ्चारः	Comunicação
वार्त्तापत्रम्	Jornal
दूरवाणी	Telefone
संस्कृतम्	Sânscrito
इन्द्रियाणि	Sistema sensorial
अम्लम्	Ácido
आयुर्विज्ञान	Medicina
क्षारः	Base (química)
लवणम्	Sal de cozinha
फिदेल कास्ट्रो	Fidel Castro
तत्त्वम् (रसायनशास्त्रम्)	Elemento (química)
आर्यभटः	Ariabata
शिवः	Shiva
विष्णुः	Vixnu
ब्रह्मा	Brama
परस्परक्रिया	Força
गुरुत्वाकर्षणशक्तिः	Gravidade
संहतिः (भौतविज्ञानम्)	Massa
चलच्चित्रम्	Filme
द्विचक्रिका	Bicicleta
कृषिः	Agricultura
शब्दः	Som
क्षेत्रफलम्	Área
यवः	Cevada
हैरी ट्रूमन	Harry S. Truman
चित्रकला	Pintura
नृत्यम्	Dança
ऋणाणुशास्त्र	Eletrônica
आवर्तनम् (Frequency)	Frequência
लाहोर	Lahore
देशाः	Lista de Estados soberanos
पाषाणयुगम्	Idade da Pedra
कांस्ययुगम्	Idade do Bronze
लोहयुगम्	Idade do Ferro
पौराणयवनसंस्कृतिः	Grécia Antiga
गुप्त-साम्राज्यम्	Império Gupta
थामस् जेफरसन्	Thomas Jefferson
राजकोट	Rajkot
सिल्विओ बर्लुस्कोनी	Silvio Berlusconi
वडोदरा	Vadodara
प्रभासंयोगः	Fotossíntese
११०१	1101
११०२	1102
कर्कटरोगः	Cancro
विसूचिका	Cólera
गोधूमः	Trigo
यावानलः	Sorghum
बधिरता	Surdez
मानसिकरोगः	Transtorno mental
ग्रेगोरी-कालगणना	Calendário gregoriano
समयवलयः	Fuso horário
स्वस्थ:	Saúde
हृदयाघातः	Infarto agudo do miocárdio
शीतज्वरः	Malária
मेदुरता	Obesidade
एइड्स्	Síndrome da imunodeficiência adquirida
क्षयरोगः	Tuberculose
मधुमेहः	Diabetes mellitus
वास्तुशास्त्रम्	Arquitetura
फलकम्:Location map India	Predefinição:Mapa de localização/Índia
मापनप्रविधिः	Medição
संख्याशास्त्रम्	Teoria dos números
११०३	1103
११०४	1104
आस्ट्टाल्ट् फ्रिडरिक् विल्हेल्म्	Wilhelm Ostwald
अण्वस्त्रम्	Bomba nuclear
विनोबा भावे	Vinoba Bhave
कपालः	Crânio
तृणबदरफलम्	Morango
केरवृक्षः	Coqueiro
दाडिमफलम्	Romã
नारङ्गफलम्	Citrus × sinensis
राजस्थानी	Língua rajastani
हार्वर्ड् विश्वविद्यालयः	Universidade Harvard
११०५	1105
अरबीभाषा	Língua árabe
कासनी जियावानि डोमिनिको	Giovanni Domenico Cassini
ब्रान्टोसारस्	Apatossauro
नागदामिनी	Artocarpus incisa
अधरम्	Lábio
श्मश्रु	Bigode
नीलगिरीमण्डलम्	Nilgiris (distrito)
सेलम्-मण्डलम्	Salem (distrito)
वेल्लूरुमण्डलम्	Vellore (distrito)
अदिलाबादमण्डलम्	Adilabad (distrito)
अनन्तपुरमण्डलम्	Anantapur (distrito)
चित्तूरुमण्डलम्	Chittur
खम्मम् मण्डलम्	Khammam (distrito)
करीम्नगरमण्डलम्	Karimnagar (distrito)
महबूबनगरमण्डलम्	Mahbubnagar (distrito)
कर्नूलुमण्डलम्	Kurnool (distrito)
कृष्णामण्डलम्	Krishna (distrito)
नेल्लूरुमण्डलम्	Nellore (distrito)
नल्गोण्डामण्डलम्	Nalgonda (distrito)
मेदकमण्डलम्	Medak (distrito)
रङ्गारेड्डिमण्डलम्	Rangareddi (distrito)
प्रकाशमण्डलम्	Prakasam (distrito)
निजामाबादमण्डलम्	Nizamabad (distrito)
श्रीकाकुळम् मण्डलम्	Srikakulam (distrito)
वरङ्गलमण्डलम्	Warangal (distrito)
चरणम्	Pé
एमील डर्खीम	Émile Durkheim
स्कन्दः	Ombro
विकिपीडिया:निर्वाचित लेख	Wikipédia:Artigos destacados
फलकम्:Link FA	Predefinição:Link FA
विकिपीडिया:विचारमण्डपम्	Wikipédia:Esplanada
कमलम्	Nelumbo nucifera
वर्मांट	Vermont
डेन्वर्	Denver
फिनिक्स्, एॅरिझोना	Phoenix (Arizona)
आस्टिन्	Austin
विकिया	Wikia
स्टार् वार्स्:अ नुय्य् होप्	Star Wars Episódio IV: Uma Nova Esperança
साक्रामेन्टो	Sacramento (Califórnia)
हानलूलू	Honolulu
कोरिया	Coreia
प्राविडेन्स्	Providence
१०००	1000
९९९	999
वैश्विकस्थितिसूचकपद्धतिः	Sistema de posicionamento global
मामे बिराम दिउफ़	Mame Biram Diouf
ताजमहल् प्यालेस्	Taj Mahal Palace & Tower
१००१	1001
१००२	1002
१००३	1003
१००५	1005
१००६	1006
१००७	1007
१००८	1008
१००९	1009
१०१०	1010
१०११	1011
१०१२	1012
१०१३	1013
१०१४	1014
१०१५	1015
१०१६	1016
१०१७	1017
१०१८	1018
१०१९	1019
१०२०	1020
१०२१	1021
१०२२	1022
१०२३	1023
१०२४	1024
१०२५	1025
१०२६	1026
१०२७	1027
१०२८	1028
१०२९	1029
१०३०	1030
१०३१	1031
१०३२	1032
१०३३	1033
१०३४	1034
१०३५	1035
१०३६	1036
१०३७	1037
१०३८	1038
१०३९	1039
१०४०	1040
१०४१	1041
१०४२	1042
१०४३	1043
१०४४	1044
१०४५	1045
१०४६	1046
१०४७	1047
१०४८	1048
१०४९	1049
१०५०	1050
१०५१	1051
१०५२	1052
१०५३	1053
१०५४	1054
१०५५	1055
१०५६	1056
१०५७	1057
१०५८	1058
१०५९	1059
१०६०	1060
१०६१	1061
१०६२	1062
१०६३	1063
१०६४	1064
१०६५	1065
१०६६	1066
१०६७	1067
१०६८	1068
१०६९	1069
१०७०	1070
१०७१	1071
१०७२	1072
१०७३	1073
१०७४	1074
१०७५	1075
१०७६	1076
१०७७	1077
१०७८	1078
१०७९	1079
१०८०	1080
१०८१	1081
१०८२	1082
१०८३	1083
१०८४	1084
१०८५	1085
१०८६	1086
१०८७	1087
१०८८	1088
१०८९	1089
१०९०	1090
१०९१	1091
१०९२	1092
१०९३	1093
१०९४	1094
१०९५	1095
१०९६	1096
१०९७	1097
१०९८	1098
१०९९	1099
११०६	1106
११०७	1107
११०८	1108
११०९	1109
१११०	1110
पोडाल्स्क्	Podolsk
११११	1111
१११२	1112
१११३	1113
१११४	1114
१११५	1115
१११६	1116
१११७	1117
१११८	1118
१११९	1119
११२०	1120
११३०	1130
११३१	1131
११३२	1132
११३३	1133
११३४	1134
११३५	1135
११३६	1136
११३७	1137
११३८	1138
११३९	1139
५	5
११४०	1140
११४१	1141
११४२	1142
११४३	1143
११४४	1144
४	4
११४५	1145
११४६	1146
११४७	1147
११४८	1148
३	3
११४९	1149
११५०	1150
११५१	1151
११५२	1152
११५३	1153
२	2
११५४	1154
११५५	1155
११५६	1156
११५७	1157
११५८	1158
११५९	1159
११६०	1160
११६१	1161
११६२	1162
११६३	1163
११६४	1164
११६५	1165
११६६	1166
११६७	1167
११६८	1168
११६९	1169
११७०	1170
११७१	1171
११७२	1172
११७३	1173
११७४	1174
११७५	1175
११७६	1176
११७७	1177
११७८	1178
११७९	1179
११८०	1180
११८१	1181
११८२	1182
११८३	1183
११८४	1184
११८५	1185
११८६	1186
११८७	1187
११८८	1188
११८९	1189
११९०	1190
११९१	1191
११९२	1192
११९३	1193
११९४	1194
११९५	1195
११९६	1196
११९७	1197
११९८	1198
११९९	1199
कच्छवनस्पतियुक्तभूमिः	Manguezal
६	6
क्रिस्मस्	Natal
अधिवर्षम्	Ano bissexto
स्टीव जाब्स	Steve Jobs
व्याघ्रः	Tigre
निस्सान् मोटार् कम्पनि	Nissan
स्याम्सङ्ग्	Samsung
एडवर्ड ७	Eduardo VII do Reino Unido
चिशिनौ	Chișinău
सङ्गणकविज्ञानम्	Ciência da computação
ओडिशाराज्यम्	Orissa
पञ्जाबराज्यम्	Punjab (Índia)
जनसङ्ख्यासान्द्रता	Densidade populacional
आयर्लैंड	Irlanda (ilha)
१	1
१०	10
नाश्विल्	Nashville (Tennessee)
२०	20
३०	30
४०	40
साल्ट् लेक् सिटी	Salt Lake City
९	9
७	7
८	8
१२	12
हरिणः	Cervidae
लशुनम्	Alho
मानवविज्ञानं	Antropologia
९३०	930
१३	13
९८५	985
११२२	1122
९८१	981
९३९	939
उर्वारुकम्	Pepino
५१	51
श्वेत	Branco
कृष्ण वर्णः	Preto
८१४	814
६७८	678
९५०	950
६७९	679
९९६	996
६८०	680
३७	37
९८०	980
९००	900
११२९	1129
८४३	843
६९०	690
६९१	691
९८८	988
६९२	692
४७६	476
६९३	693
६९४	694
६९५	695
पलाण्डुः	Cebola
६९६	696
६९७	697
६९८	698
६९९	699
७००	700
७०१	701
७०२	702
पुरातत्त्व	Arqueologia
७०३	703
वार्तकी	Tomate
७०४	704
७०५	705
७०६	706
६८	68
८९	89
७०७	707
७०८	708
७०९	709
११	11
७१०	710
७११	711
७१२	712
७१३	713
७१४	714
७१५	715
७१६	716
७१७	717
७१८	718
७१९	719
७२०	720
७२१	721
७२२	722
७२३	723
नासा	NASA
७२४	724
७२५	725
७२६	726
अटलान्टा	Atlanta
७२७	727
बेनितो मुसोलिनी	Benito Mussolini
७२८	728
७२९	729
९६३	963
७३०	730
७३१	731
९६२	962
७३२	732
७३३	733
९९७	997
७३४	734
९७२	972
७३५	735
९५५	955
९०१	901
७३६	736
७३७	737
९३६	936
७३८	738
९५३	953
९०२	902
७३९	739
१५	15
७४०	740
१४	14
७४१	741
७४२	742
१७	17
७४३	743
९५८	958
७४४	744
५००	500
७४५	745
१५०	150
७४६	746
८८०	880
७४७	747
७४८	748
७४९	749
८७०	870
९०३	903
७५०	750
७५१	751
७५२	752
मस्तकम्	Cabeça
७५३	753
९८७	987
७५४	754
९६५	965
७५५	755
९२४	924
९५१	951
९३२	932
२३	23
८००	800
१२०	120
४२	42
९६७	967
९८९	989
९६०	960
९६९	969
९५७	957
११२४	1124
९७१	971
९३७	937
९९२	992
९९०	990
८९९	899
९७५	975
९४२	942
९६६	966
११२८	1128
९५९	959
९७३	973
१८	18
१९	19
१६	16
२१	21
२६	26
४१	41
३२	32
३३	33
९८२	982
९७४	974
९७६	976
९७९	979
९८६	986
९१९	919
९९८	998
९९५	995
९७७	977
११२५	1125
९३४	934
अल्फ्रेड नोबेल	Alfred Nobel
२००	200
८७६	876
८७५	875
८१०	810
९२९	929
८८२	882
११२७	1127
९४०	940
८८९	889
८४४	844
९१२	912
८३८	838
९८४	984
८७४	874
३८	38
४३	43
१२७	127
९५४	954
३९	39
२४	24
७९	79
६१	61
१०४	104
२९	29
१०२	102
८६६	866
८३९	839
६२२	622
९१८	918
१००	100
९६१	961
५७०	570
६३२	632
९४६	946
८३५	835
८८४	884
८५९	859
८३२	832
८४९	849
८७७	877
८७८	878
८६१	861
८६९	869
९६८	968
९८३	983
९६४	964
११२१	1121
११२३	1123
९३३	933
९१५	915
९७०	970
९११	911
९९३	993
९९१	991
९९४	994
८९८	898
९४४	944
९०७	907
९४३	943
९४५	945
९२२	922
९०५	905
९४१	941
९२५	925
९२८	928
९४८	948
९४७	947
९४९	949
९२६	926
ऋतुः	Estação do ano
१२६	126
१०१	101
१०५	105
१०८	108
११७	117
११५	115
२२	22
४६	46
२५	25
१५३	153
१५६	156
३१	31
८२५	825
३०१	301
११६	116
८८६	886
३३०	330
८६०	860
८४२	842
१६५	165
८७१	871
८९३	893
२०३	203
९०९	909
२२२	222
९३१	931
९३८	938
९१७	917
१६०	160
२८	28
८५	85
८८	88
७६	76
५४	54
४७७	477
९१४	914
९२०	920
९१३	913
अल्बानी, न्यू यार्क्	Albany (Nova Iorque)
९३५	935
८४१	841
८२०	820
९०६	906
९१६	916
८८५	885
१६८	168
६०	60
४७	47
८३६	836
११२	112
८५४	854
८६२	862
८७९	879
८८७	887
७७०	770
८१७	817
८६४	864
८६३	863
८६८	868
सुदाबसस्यम्	Arruda
८५५	855
८१८	818
८३७	837
८४५	845
१६६	166
उलूकः	Strigiformes
हरेणुः	Pisum sativum
कशेरुकाः	Vertebrados
५५२	552
खर्जूरम्	Tamareira
नाट्यकला	Drama
केसरम्	Açafrão
६००	600
४००	400
३००	300
इरावती नदी	Rio Irauádi
मान्ट्पेलियर्, वर्मान्ट्	Montpelier (Vermont)
बि एम् डब्ल्यू	BMW
मिश्रेयसस्यम्	Endro
हम्पी	Conjunto Monumental de Hampi
लवङ्गम्	Cravo-da-índia
हेरोडोटस	Heródoto
लक्षद्वीपाः	Laquedivas
शाका ज़ूलू	Shaka Zulu
मोरङमण्डलम्	Morang
पाँचथरमण्डलम्	Panchthar (distrito)
सुनसरीमण्डलम्	Sunsari
झापामण्डलम्	Jhapa (distrito)
वराङ्गम्	Canela
अगस्टा	Augusta (Maine)
बेटन रूज	Baton Rouge
लान्सिङ्	Lansing
आनापालिस्	Annapolis (Maryland)
कुस्तुम्बरीपर्णम्	Apium graveolens
३६	36
केशः	Pelo
स्प्रिंग्फ़ील्ड्	Springfield (Illinois)
ताप्लेजुङमण्डलम्	Taplejung (distrito)
फ़्रांक्फ़ोर्ट्, केन्टकी	Frankfort (Kentucky)
कासिमिर फन्क	Casimir Funk
फील्ड्स् पदकप्रशस्तिः	Medalha Fields
इलाममण्डलम्	Ilam (distrito)
पोङ्गल्	Pongal
मान्टगोमेरी	Montgomery (Alabama)
असमिया	Língua assamesa
जुनो	Juneau
क्रिस स्मालिंग	Chris Smalling
जोनी एवंस	Jonny Evans
चीनादेशः	China (civilização)
घनत्वम् (भौतविज्ञानम्)	Densidade
अवधी भाषा	Língua awadhi
८१५	815
८१६	816
८२२	822
८४०	840
८२३	823
८११	811
७७१	771
८८८	888
७६८	768
८५१	851
२०५	205
१५९	159
१०७	107
१६२	162
१०३	103
८०२	802
८०४	804
११९	119
११८	118
८०१	801
८०७	807
८०६	806
१५२	152
२४०	240
२१८	218
६५५	655
४९६	496
२३८	238
१९७	197
४५१	451
७७५	775
सर्षपः	Mostarda (planta)
४८९	489
७८४	784
६६१	661
६२५	625
६५३	653
९०४	904
९२१	921
९२३	923
११२६	1126
६६८	668
६३६	636
४०८	408
४६४	464
४१०	410
९५६	956
९५२	952
६५८	658
६५०	650
५१८	518
७०	70
८१	81
६९	69
८७	87
६५	65
६६	66
६७	67
५५	55
३४	34
४४	44
३५	35
६४	64
५०४	504
४५३	453
१६१	161
१६९	169
४८१	481
१५१	151
१५५	155
१२८	128
१२९	129
४६३	463
१९३	193
६७४	674
६८७	687
२५१	251
३३७	337
७८६	786
६६०	660
५०	50
२६०	260
५०१	501
४५	45
४९१	491
४९	49
९७८	978
२२१	221
५४३	543
५३६	536
२३०	230
७६२	762
६१०	610
७८७	787
४८०	480
२०९	209
२०२	202
१९२	192
६८१	681
८१९	819
१७३	173
८६७	867
८६५	865
८२७	827
८२४	824
८४७	847
८८३	883
८२९	829
८१३	813
९१०	910
८५०	850
८०८	808
८५३	853
८७२	872
८७३	873
८५६	856
८५८	858
८३१	831
८५७	857
८२८	828
८२६	826
८३३	833
८४८	848
८३४	834
८८१	881
८५२	852
१६३	163
१५४	154
२०१	201
८०३	803
८०५	805
५२	52
५३२	532
८२	82
८४	84
७३	73
७२	72
६२	62
७१	71
७५	75
७४	74
८३	83
७८	78
७७	77
९०	90
८०	80
६२७	627
४५६	456
९१	91
१९०	190
१०९	109
५३	53
२७०	270
६८८	688
४५२	452
७९५	795
४६५	465
७७८	778
८४६	846
८३०	830
४०४	404
९०८	908
८९६	896
८९७	897
९२७	927
६३	63
५५५	555
५७१	571
८६	86
४०१	401
८९०	890
५३३	533
२६४	264
मिखाइल् गोर्बचोफ्	Mikhail Gorbachev
९९	99
४१५	415
४८३	483
४६९	469
४६२	462
४५९	459
४६६	466
४०२	402
७६१	761
७८०	780
६७५	675
६८९	689
७७४	774
७५९	759
७५८	758
३५०	350
मदर् तेरेसा	Madre Teresa de Calcutá
७८२	782
७६०	760
७८५	785
७८३	783
७६७	767
७६६	766
२११	211
२३२	232
२०४	204
१८८	188
९८	98
८९४	894
८९१	891
६०२	602
६२८	628
८९२	892
६०१	601
६७२	672
६८२	682
८२१	821
६४८	648
६८६	686
६६४	664
६७७	677
६४०	640
११०	110
१११	111
१३७	137
१३८	138
१२२	122
१४०	140
८०९	809
१६७	167
६६५	665
७७६	776
७६३	763
७६९	769
६६७	667
५२९	529
७७७	777
७८८	788
६७१	671
७७२	772
४३२	432
२३१	231
२३७	237
२३९	239
१३०	130
२२६	226
२०७	207
४७५	475
४५४	454
४९५	495
२०६	206
४६८	468
४६१	461
४६०	460
१९४	194
२१०	210
२२५	225
३११	311
२२०	220
५४१	541
६४२	642
यश चोपरा	Yash Chopra
३१३	313
१८०	180
७९४	794
५८७	587
५३०	530
६०९	609
४९७	497
५४०	540
४२८	428
५४८	548
४२२	422
५४९	549
४५७	457
४७८	478
२५३	253
४६७	467
४५८	458
१५८	158
१५७	157
१६४	164
१२४	124
११३	113
१२१	121
१०६	106
५५१	551
४९४	494
३२०	320
२४२	242
२९१	291
४८	48
९७	97
५६	56
९३	93
५७	57
५०३	503
५१०	510
५०९	509
४७४	474
४८४	484
५७६	576
४९३	493
४७९	479
२८७	287
४०७	407
४८५	485
५४७	547
५४६	546
५४४	544
५३७	537
५३५	535
५०२	502
५२७	527
५०८	508
५२५	525
६१३	613
६१८	618
६१७	617
६०८	608
६४५	645
६२१	621
६०६	606
६२३	623
६०४	604
६०३	603
६२६	626
६१९	619
६३४	634
६३०	630
६१४	614
५०५	505
४४६	446
७९१	791
५५७	557
६५६	656
६५७	657
६५९	659
६५१	651
६७६	676
६७०	670
६५२	652
६७३	673
६५४	654
६४७	647
८१२	812
६६९	669
७९२	792
६४९	649
८९५	895
७५६	756
६६३	663
७७९	779
६६२	662
६८४	684
७७३	773
७५७	757
४३५	435
७९०	790
४३७	437
४३३	433
७६४	764
४२६	426
७८१	781
४२५	425
४२९	429
४२३	423
७६५	765
२३५	235
२३३	233
२२३	223
२२४	224
२१६	216
२१९	219
२५४	254
२७२	272
२०८	208
१७५	175
१७०	170
१७१	171
१७२	172
५८	58
५९	59
१३९	139
