阿非利加洲	África
Category:遊戲	Categoria:Jogos
門:經	Portal:Ciência
Category:幫助文檔	Categoria:!Ajuda
維基大典:世事	Portal:Eventos atuais
Template:Documentation	Predefinição:Documentação
Category:有秩	Categoria:!Administradores
維基大典:簿之權限	Wikipédia:Usuários
Category:半保護	Categoria:!Páginas semiprotegidas
Category:維基社群論壇	Categoria:!Avisos sobre a Wikipédia
維基大典:聯繫	Wikipédia:Contato
維基大典:市集	Wikipédia:Portal comunitário
Category:維基人	Categoria:!Wikipedistas por idioma
Category:維基人 (地方)	Categoria:!Wikipedistas por localização
維基大典:忽略規則	Wikipédia:A Wikipédia não possui regras fixas além dos cinco pilares
維基大典:五柱	Wikipédia:Cinco pilares
成在基	Sung Jae-ki
企業	Negócio
Template:Softredirect	Predefinição:Pseudorredirecionamento
Template:刪	Predefinição:ER
Category:技術	Categoria:Tecnologia
Category:語言	Categoria:Línguas
Category:語法	Categoria:Gramática
Category:維基大典	Categoria:Wikipédia
Category:諸語維基大典	Categoria:Versões da Wikipédia
Category:未索之頁	Categoria:!Páginas não indexadas
Category:帶壞檔之頁	Categoria:!Páginas com ficheiros inexistentes
門:卷首	Portal:Índice
Template:Navbox	Predefinição:Navbox
Template:捷徑	Predefinição:Atalho
Category:時區	Categoria:Fusos horários
Category:維基大典維護	Categoria:!Manutenção
門:美國史	Portal:Estados Unidos
Template:Navbar	Predefinição:Tnavbar
Template:Unicode	Predefinição:Unicode
Category:格式模板	Categoria:!Predefinições de formatação
Template:Transclude	Predefinição:Transclude
Template:Clear	Predefinição:Limpar
Template:Nowrap	Predefinição:Nowrap
維基大典:當有之文	Wikipédia:Artigos essenciais
Category:數	Categoria:Números
Category:書籍	Categoria:Livros
Template:Wikisource	Predefinição:Wikisource
Template:Babel	Predefinição:Babel
Template:共享	Predefinição:Commons
Template:Link GA	Predefinição:Bom interwiki
Template:Reflist	Predefinição:Referências
維基大典:掃興警示	Wikipédia:A Wikipédia contém spoilers
Template:芻文	Predefinição:Esboço
Template:See also	Predefinição:VT
Template:User de	Predefinição:User de
Template:User de-1	Predefinição:User de-1
Template:User es-2	Predefinição:User es
Template:User en-3	Predefinição:User en-3
Template:User en-1	Predefinição:User en-1
Template:User en-2	Predefinição:User en-2
Template:User en-4	Predefinição:User en-4
Template:User en	Predefinição:User en
Template:User de-2	Predefinição:User de-2
Template:User es-1	Predefinição:User es-1
Template:User fr-1	Predefinição:User fr-1
Category:香港大專院校	Categoria:Instituições de ensino superior de Hong Kong
Template:User he-2	Predefinição:User he-2
Template:User id-3	Predefinição:User id-3
Template:User sk	Predefinição:User sk
Template:User fr-2	Predefinição:User fr-2
Template:User ja	Predefinição:User ja
Template:User ja-1	Predefinição:User ja-1
Template:User fr	Predefinição:User fr
Category:智利	Categoria:Chile
Category:廿一世紀	Categoria:Século XXI
Category:維護模板	Categoria:!Predefinições de manutenção
Category:User uk	Categoria:Usuários uk
Category:User uk-N	Categoria:Usuário uk
Template:Esoteric	Predefinição:Predefinição complexa
Template:Mod	Predefinição:Mod
Template:User uk	Predefinição:User uk
Category:百科全書	Categoria:Enciclopédias
Template:歡迎	Predefinição:Bem-vindo(a)
Category:User ms	Categoria:Usuários ms
Template:Ref	Predefinição:Ref
Template:Click	Predefinição:Click
Category:連結模板	Categoria:!Predefinições sobre links
Template:Userbox-2	Predefinição:Userbox-2
Category:User fr-1	Categoria:Usuário fr-1
Template:Wikiquote	Predefinição:Wikiquote
Template:Image label	Predefinição:Image label
Template:Category handler	Predefinição:Cat handler
Template:Ja	Predefinição:((ja))
Template:維基諸策	Predefinição:Wikimedia Foundation
Template:醫	Predefinição:Aviso-médico
Template:大修	Predefinição:Em edição
Template:Es	Predefinição:((es))
Template:Ambox	Predefinição:Ambox
Template:官能團	Predefinição:Funções orgânicas
Template:Hide in print	Predefinição:Hide in print
Category:美國史	Categoria:História dos Estados Unidos
Template:國	Predefinição:Info/País
Template:Infobox software	Predefinição:Info/Software
Template:Wide image	Predefinição:Panorama
Template:Military Conflict	Predefinição:Info/Conflito militar
Template:Audio	Predefinição:Áudio
Template:電玩訊欄	Predefinição:Info/Jogo eletrônico
Template:Dablink	Predefinição:Dablink
Template:卓著	Predefinição:Artigo destacado
Category:User en-4	Categoria:Utilizador en-4
Category:User en	Categoria:Usuários en
Category:User zh	Categoria:Usuários zh
Category:User zh-N	Categoria:Usuário zh
Category:User en-2	Categoria:Usuário en-2
Category:曲	Categoria:Composições musicais
Template:Infobox	Predefinição:Info
Template:User zh	Predefinição:User zh
Template:Template other	Predefinição:Template other
Template:Legend	Predefinição:Legenda
Template:引網	Predefinição:Citar web
Template:Ombox	Predefinição:Ombox
Category:食	Categoria:Alimentação
Template:未已之作	Predefinição:Futuro
Template:Coor URL	Predefinição:Coor URL
Template:Pp-template	Predefinição:Pp-template
Category:史書	Categoria:Livros de história
Template:維基爾雅	Predefinição:Wikcionário
Template:Multi-listen start	Predefinição:Multi-escuta início
Template:MongolUnicode	Predefinição:MongolUnicode
Template:Languageicon	Predefinição:Languageicon
Category:農業	Categoria:Agricultura
Category:User ms-N	Categoria:Usuário ms
Template:User ru	Predefinição:User ru
Category:二十世紀	Categoria:Século XX
Template:IPA	Predefinição:AFI
Template:釋義二	Predefinição:Ver desambig
Category:東羅馬史	Categoria:Império Bizantino
Template:LangWithName	Predefinição:Língua com nome
Template:Navbox subgroup	Predefinição:Navbox subgroup
Template:Dyk	Predefinição:Sabia que
Template:Archive box	Predefinição:Arquivo-índice
Template:Namespace detect	Predefinição:Namespace detect
Template:KIA	Predefinição:KIA
Template:Fmbox	Predefinição:Fmbox
Template:Navbox with collapsible groups	Predefinição:Navbox with collapsible groups
Template:Copyvio	Predefinição:VDA
Template:元素週期表	Predefinição:Tabela periódica compacta
Template:天下觀	Predefinição:Global
Template:Image label end	Predefinição:Image label end
Template:澳大利亞地方	Predefinição:Austrália
Template:Purge	Predefinição:Purgar
Template:土星之衛星	Predefinição:Luas de Saturno
Template:敗興	Predefinição:Revelações sobre o enredo
Template:中華人民共和國地方	Predefinição:Subdivisões da República Popular da China
Template:齋	Predefinição:Página de usuário
Template:User	Predefinição:Usuário2
非標準實數	Número hiper-real
Category:中學	Categoria:Instituições de ensino médio
Template:Note	Predefinição:Nota
Category:公司	Categoria:Empresas
Template:User fr-3	Predefinição:User fr-3
Template:Move	Predefinição:Renomear página
Template:Th	Predefinição:((th))
Template:Redirect	Predefinição:Redirect
Category:日本地方志	Categoria:Subdivisões do Japão
Category:電腦	Categoria:Computadores
Category:器	Categoria:Equipamentos
Template:Mbox	Predefinição:Mbox
Template:非也	Predefinição:Discordo
Template:SUL Box	Predefinição:SUL Box
Category:複分析	Categoria:Análise complexa
客家語維基大典	Wikipédia em chinês hakka
Category:User ja-N	Categoria:Usuário ja
Category:茶	Categoria:Chá
贛語維基大典	Wikipédia em chinês gan
Template:Browsebar	Predefinição:Barra de portais
Template:釋義	Predefinição:Desambiguação
Category:攝影	Categoria:Fotografia
Category:天皇本紀	Categoria:Monarcas do Japão
Category:德意志第三帝國書	Categoria:Alemanha Nazi
Category:朝鮮史	Categoria:História da Coreia
Category:礦冶	Categoria:Mineração
Template:Legend inline	Predefinição:Legend inline
Template:User ksh	Predefinição:User ksh
Template:Lang-en	Predefinição:Lang-en
Category:廣州	Categoria:Cantão (China)
Category:建築	Categoria:Arquitetura
Template:PD-release	Predefinição:PD-release
Template:Period end	Predefinição:Período fim
Category:生物	Categoria:Organismos
Template:De	Predefinição:((de))
Template:Infobox person	Predefinição:Info/Biografia
Category:鐵路	Categoria:Transporte ferroviário
Template:洲	Predefinição:Continentes
Template:InterWiki	Predefinição:InterWiki
Template:MainPageInterwikis	Predefinição:Interwikis da página principal
Template:LSR	Predefinição:ULE
大韓民國大統領	Presidente da Coreia do Sul
Template:User th-1	Predefinição:User th-1
Category:金蘭之模	Categoria:!Predefinições para correlatos
Template:User bg	Predefinição:User bg
Template:User la-1	Predefinição:User la-1
Template:歐洲	Predefinição:Países da Europa
Category:User sk	Categoria:Usuários sk
Category:User fr	Categoria:Usuários fr
Category:User id	Categoria:Usuários id
Category:User ja	Categoria:Usuários ja
Category:User la	Categoria:Usuários la
Category:User th	Categoria:Usuários th
Category:User fr-3	Categoria:Usuário fr-3
Category:User fr-2	Categoria:Usuário fr-2
Category:User ja-2	Categoria:Usuário ja-2
Category:User ko-N	Categoria:Usuário ko
Category:User fr-N	Categoria:Usuário fr
Category:User ru-N	Categoria:Usuário ru
Category:娛樂	Categoria:Entretenimento
Category:商學	Categoria:Negócios
Category:文字	Categoria:Sistemas de escrita
Category:User bg	Categoria:Usuários bg
Category:輕小說	Categoria:Light novels
Category:道教	Categoria:Taoismo
Category:User bg-N	Categoria:Usuário bg
Category:User sk-N	Categoria:Usuário sk
Category:User de	Categoria:Usuários de
Category:User de-2	Categoria:Usuário de-2
Category:User de-N	Categoria:Usuário de
Category:User en-3	Categoria:Usuário en-3
Category:User en-N	Categoria:Usuário en
Category:User es	Categoria:Usuários es
Category:User es-1	Categoria:Usuário es-1
Category:User id-3	Categoria:Usuário id-3
Category:韓語	Categoria:Língua coreana
Category:幾何	Categoria:Geometria
Category:User ja-1	Categoria:Usuário ja-1
Category:User ko	Categoria:Usuários ko
Category:User ko-1	Categoria:Usuário ko-1
Category:User ko-2	Categoria:Usuário ko-2
Category:User ksh	Categoria:Usuários ksh
Category:User ksh-N	Categoria:Usuário ksh
Category:User la-3	Categoria:Usuário la-3
Category:斯巴達書	Categoria:Esparta
Template:Translating	Predefinição:Em tradução
Template:辨	Predefinição:Não confundir com
Category:User ru-1	Categoria:Usuário ru-1
維基大典:巴别	Wikipédia:Babel
Template:木星之衛星	Predefinição:Luas de Júpiter
Category:化合物	Categoria:Compostos químicos
Category:大洋洲史	Categoria:História da Oceania
Category:User ms-1	Categoria:Usuário ms-1
長安	Changan
Category:以嗜好類之維基人	Wikipédia:Lista de wikipedistas por interesse
Category:花	Categoria:Flores
Category:慶尚北道	Categoria:Gyeongsang do Norte
Category:廣東省	Categoria:Guangdong
Category:四川省	Categoria:Sichuan
Category:遼寧省	Categoria:Liaoning
Category:陝西省	Categoria:Shaanxi
Category:安徽省	Categoria:Anhui
Category:江西省	Categoria:Jiangxi
Category:江蘇省	Categoria:Jiangsu
Category:吉林省	Categoria:Jilin
Category:福建省	Categoria:Fujian
Category:海南省	Categoria:Hainan
Category:河北省	Categoria:Hebei
Category:黑龍江省	Categoria:Heilongjiang
Category:湖北省	Categoria:Hubei
Category:地理	Categoria:Geografia física
Category:水	Categoria:Água
Category:美洲史	Categoria:História da América
Category:地理學	Categoria:Ramos da geografia
Category:社會科學	Categoria:Ciências sociais
Template:!w	Predefinição:!wrap
Template:Zh	Predefinição:Zh icon
Category:江戶書	Categoria:Período Edo
Category:室町書	Categoria:Período Muromachi
Category:鎌倉書	Categoria:Período Kamakura
Category:平安書	Categoria:Período Heian
Category:奈良書	Categoria:Período Nara
Category:飛鳥書	Categoria:Período Asuka
Category:古墳書	Categoria:Período Kofun
Category:繩文書	Categoria:Período Jomon
Category:戰國書	Categoria:Período Sengoku
Template:User ja-2	Predefinição:User ja-2
Template:User ko-2	Predefinição:User ko-2
Template:User ko-1	Predefinição:User ko-1
Template:User ru-2	Predefinição:User ru-2
Template:天王星之衛星	Predefinição:Luas de Urano
Category:User ru	Categoria:Usuários ru
Category:User ru-2	Categoria:Usuário ru-2
Category:User th-1	Categoria:Usuário th-1
Template:En	Predefinição:((en))
Category:山東省	Categoria:Shandong
Category:雲南省	Categoria:Yunnan
Category:浙江省	Categoria:Zhejiang
Category:青海省	Categoria:Qinghai
Category:河南省	Categoria:Henan
Category:湖南省	Categoria:Hunan
Template:Lang	Predefinição:Lang
Category:日本文學	Categoria:Literatura do Japão
Category:群學	Categoria:Sociologia
Category:臺南市	Categoria:Tainan
Template:2images	Predefinição:Imagem dupla
域	Champ
Category:三世紀	Categoria:Século III
Category:十七世紀	Categoria:Século XVII
Category:七世紀	Categoria:Século VII
Category:人	Categoria:Humanos
Category:東羅馬本紀	Categoria:Imperadores bizantinos
Category:門	Categoria:!Portais
Template:Ko	Predefinição:((ko))
Template:粒子	Predefinição:Partículas elementares
Template:Main	Predefinição:Artigo principal
Template:User gan	Predefinição:User gan
Template:Fossil range/marker	Predefinição:Período fóssil/marcador
Category:習俗	Categoria:Convenções culturais
Category:風	Categoria:Ventos
Template:PD-self	Predefinição:PD-self
Template:Chart	Predefinição:Chart
Category:中華地方志	Categoria:Subdivisões da República Popular da China
Category:希臘史	Categoria:História da Grécia
Category:澳大利亞史	Categoria:História da Austrália
Category:北韓紀事	Categoria:História da Coreia do Norte
Category:民國紀事	Categoria:História da República da China
Category:加拿大史	Categoria:História do Canadá
Template:User ko	Predefinição:User ko
Template:User ru-1	Predefinição:User ru-1
Template:User zh-1	Predefinição:User zh-1
Template:User zh-2	Predefinição:User zh-2
Template:User zh-3	Predefinição:User zh-3
Category:中華民國行政區	Categoria:Divisões administrativas da República da China
Category:俄羅斯史	Categoria:História da Rússia
Category:中華人民共和國紀事	Categoria:História da República Popular da China
Template:Multi-listen end	Predefinição:Multi-escuta fim
Category:中華自治區	Categoria:Regiões autônomas da República Popular da China
Category:羅馬皇帝本紀	Categoria:Imperadores romanos
Category:戲劇	Categoria:Teatro
維基大典:每日圖繪	Wikipédia:Imagem em destaque
Template:中立	Predefinição:Neutro
Category:中東史	Categoria:História do Oriente Médio
Category:User zh-1	Categoria:Usuário zh-1
Category:User zh-3	Categoria:Usuário zh-3
Category:User zh-2	Categoria:Usuário zh-2
Category:刑法	Categoria:Direito penal
Category:酸	Categoria:Ácidos
Category:民國總統世家	Categoria:Presidentes da República da China
Category:算法	Categoria:Algoritmos
Category:維基訊	Categoria:!Notícias
Category:一世紀	Categoria:Século I
Category:十四世紀	Categoria:Século XIV
Category:二世紀	Categoria:Século II
Category:四世紀	Categoria:Século IV
Category:十八世紀	Categoria:Século XVIII
Category:八世紀	Categoria:Século VIII
Category:唐本紀	Categoria:Imperadores da Dinastia Tang
Category:明本紀	Categoria:Imperadores da Dinastia Ming
Category:整數	Categoria:Inteiros
Category:香港列傳	Categoria:Hongueconguenses
Category:藤原氏	Categoria:Clã Fujiwara
Category:印歐語系	Categoria:Línguas indo-europeias
Category:量子場論	Categoria:Teoria quântica de campos
Category:化學元素	Categoria:Elementos químicos
Template:中國世界遺產	Predefinição:Património Mundial na China
Category:姓氏	Categoria:Sobrenomes
Category:朝鮮民主主義人民共和國書	Categoria:Coreia do Norte
Category:英國史	Categoria:História do Reino Unido
Category:中華史	Categoria:História da China
Category:新聞學	Categoria:Jornalismo
Category:前二世紀	Categoria:Século II a.C.
Category:前三世紀	Categoria:Século III a.C.
Category:越南地理志	Categoria:Geografia do Vietname
Category:蘇聯書	Categoria:União Soviética
Category:古羅馬史	Categoria:Roma Antiga
Category:朝鮮書	Categoria:Dinastia Joseon
Category:前一世紀	Categoria:Século I a.C.
Template:Ed	Predefinição:Ed
Category:鎌倉列傳	Categoria:Pessoas do período Kamakura
Category:明列傳	Categoria:Pessoas da Dinastia Ming
Category:朝鮮列傳	Categoria:Pessoas da Dinastia Joseon
Category:江戶列傳	Categoria:Pessoas do período Edo
Category:平安列傳	Categoria:Pessoas do período Heian
Category:漢列傳	Categoria:Pessoas da Dinastia Han
Category:元列傳	Categoria:Pessoas da Dinastia Yuan
Category:唐列傳	Categoria:Pessoas da Dinastia Tang
Category:反物質	Categoria:Antimatéria
Category:美國總統世家	Categoria:Presidentes dos Estados Unidos
Category:歐洲史	Categoria:História da Europa
Category:魚	Categoria:Peixes
Category:北京市	Categoria:Pequim
Category:果	Categoria:Frutos
九條教家	Kujō Noriie
Category:天候學	Categoria:Climatologia
Category:亞洲地理志	Categoria:Geografia da Ásia
Category:人類學	Categoria:Antropologia
Category:作業系統	Categoria:Sistemas operativos
Category:金書	Categoria:Dinastia Jin (1115–1234)
Category:清書	Categoria:Dinastia Qing
Category:明書	Categoria:Dinastia Ming
Category:元書	Categoria:Dinastia Yuan
Category:隋書	Categoria:Dinastia Sui
Category:周書	Categoria:Dinastia Zhou
Category:天演	Categoria:Evolução
Category:動物	Categoria:Animais
Category:俄羅斯加盟共和國	Categoria:Repúblicas da Rússia
Category:三國書	Categoria:Três Reinos
Category:涼宮春日	Categoria:Haruhi Suzumiya
Category:兵器	Categoria:Armas
Category:紀年	Categoria:Cronologia
Category:弦論	Categoria:Teoria das cordas
Category:數學分析	Categoria:Análise matemática
Category:樂器	Categoria:Instrumentos musicais
Category:氣象	Categoria:Meteorologia
Category:實驗儀器	Categoria:Material de laboratório
Category:香港	Categoria:Hong Kong
Category:PS2遊戲	Categoria:Jogos para PlayStation 2
Category:高雄市	Categoria:Kaohsiung
Category:鹽	Categoria:Sais
Category:廣西壯族自治區	Categoria:Guangxi
Category:衣	Categoria:Vestuário
Category:上海市	Categoria:Xangai
Category:龜	Categoria:Tartarugas
Category:節日	Categoria:Festivais
Category:臺北市	Categoria:Taipei
Category:書體	Categoria:Fontes tipográficas
Category:古希臘史	Categoria:Grécia Antiga
Category:交通	Categoria:Transporte
Category:刑	Categoria:Punições
Category:玩	Categoria:Brinquedos
Category:數趣	Categoria:Matemática recreativa
Category:IE用者	Categoria:!Wikipedistas utilizadores do Internet Explorer
Category:清本紀	Categoria:Imperadores da Dinastia Qing
Category:漢本紀	Categoria:Imperadores da Dinastia Han
Category:群論	Categoria:Teoria dos grupos
Category:數論	Categoria:Teoria dos números
Category:拓撲學	Categoria:Topologia
Category:疇人	Categoria:Matemáticos
Category:雕塑	Categoria:Escultura
Category:大韓民國大統領世家	Categoria:Presidentes da Coreia do Sul
Category:漢語	Categoria:Língua chinesa
Category:澳門	Categoria:Macau
Category:塔	Categoria:Torres
便利店	Loja de conveniência
Category:中華人民共和國書	Categoria:República Popular da China
Category:衛星	Categoria:Satélites naturais
Category:數理物理	Categoria:Física matemática
Category:數學史	Categoria:História da matemática
Category:目錄學	Categoria:Bibliografia
Category:飛鳥列傳	Categoria:Pessoas do período Asuka
Category:日本世家	Categoria:Clãs do Japão
Template:依余之見	Predefinição:Comentário
Category:正典	Categoria:!Artigos bons na Wikipédia em chinês clássico
中國 (釋義)	China (desambiguação)
Category:戰國列傳	Categoria:Pessoas do período Sengoku
門:數學	Portal:Matemática
Category:鮮卑書	Categoria:Xianbei
Category:北韓本紀	Categoria:Presidentes da Coreia do Norte
Category:武漢市	Categoria:Wuhan
Category:基礎之文	Categoria:!Artigos essenciais
Template:Sister	Predefinição:Irmão
Category:代數	Categoria:Álgebra
Category:雅典列傳	Categoria:Naturais da Atenas Antiga
Category:雅典書	Categoria:Atenas Antiga
Category:胴體	Categoria:Tronco
Category:足利將軍世家	Categoria:Xoguns do clã Ashikaga
Category:鹼	Categoria:Bases
Category:橋	Categoria:Pontes
Category:矮行星	Categoria:Planetas anões
Category:地震	Categoria:Sismos
Category:香港教育	Categoria:Educação em Hong Kong
Category:電極	Categoria:Eletrodo
Category:版權	Categoria:Direitos autorais
Category:世界語	Categoria:Esperanto
Template:Lang-zh	Predefinição:Lang-zh
Category:語法格	Categoria:Casos gramaticais
Category:內蒙古自治區	Categoria:Mongólia Interior
Category:琉球本紀	Categoria:Reis de Ryukyu
Category:蘇州市	Categoria:Suzhou
Category:律史	Categoria:História do direito
門:化學	Portal:Química
Category:秦書	Categoria:Dinastia Qin
Category:軍事	Categoria:Ciência militar
Category:萌	Categoria:Moe
Category:中華直轄市	Categoria:Municípios da República Popular da China
Category:中華民國書	Categoria:República da China
Category:有機化學	Categoria:Química orgânica
Category:琉球群島	Categoria:Ilhas Ryukyu
Category:船舶	Categoria:Navios
Category:奈良列傳	Categoria:Pessoas do período Nara
Category:中華特別行政區	Categoria:Regiões administrativas especiais da República Popular da China
Category:衡器	Categoria:Instrumentos de medida
Category:唐書	Categoria:Dinastia Tang
Category:魏書	Categoria:Dinastia Wei do Norte
Category:電話	Categoria:Telefonia
Category:音節文字	Categoria:Silabários
Category:臺灣省大專院校	Categoria:Universidades de Taiwan
Category:德川將軍世家	Categoria:Xoguns do clã Tokugawa
Category:應用科學	Categoria:Ciências aplicadas
Category:輿圖學	Categoria:Cartografia
Category:西安市	Categoria:Xi'an
Category:行星環	Categoria:Anéis planetários
Template:Image label begin	Predefinição:Image label begin
Category:儒家	Categoria:Confucionismo
Category:民法	Categoria:Direito civil
Category:李代數	Categoria:Álgebra de Lie
Category:古墳列傳	Categoria:Pessoas do período Kofun
Category:User en-1	Categoria:Usuário en-1
Category:User de-1	Categoria:Usuário de-1
Category:語言標示模	Categoria:!Predefinições de ícones de línguas
Category:非洲史	Categoria:História da África
Category:羅馬共和本紀	Categoria:Cônsules da República Romana
Category:國憲	Categoria:Direito constitucional
埃博拉	Vírus Ebola
Template:LPR	Predefinição:ULI
Template:PD-author	Predefinição:SemDireitosReservados
Template:FZW-Intro	Predefinição:Discussão
Help:校對	Wikipédia:Validação de páginas
雨冰	Chuva congelada
Template:海王星之衛星	Predefinição:Luas de Netuno
Template:Multi-listen item	Predefinição:Multi-escuta item
Template:Nobots	Predefinição:Nobots
維基大典:編輯次數	Wikipédia:Lista de wikipedistas por número de edições
Template:Style/IPA	Predefinição:Style/IPA
Template:Style/yid	Predefinição:Style/yid
潘多拉病毒	Pandoravírus
門:理則	Portal:Lógica
麗水市	Lishui
Module:Yesno	Módulo:Yesno
Module:Message box	Módulo:Message box
Module:Category handler	Módulo:Category handler
Module:Message box/configuration	Módulo:Message box/configuration
如釋冰	Let It Go (canção de Frozen)
Module:Arguments	Módulo:Arguments
Special:近易	Especial:Mudanças recentes
Module:Namespace detect	Módulo:Namespace detect
Module:HtmlBuilder	Módulo:HtmlBuilder
Module:String	Módulo:String
Module:InfoboxImage	Módulo:InfoboxImage
Module:Navbar	Módulo:Navbar
Module:Navbox	Módulo:Navbox
Module:Infobox	Módulo:Infobox
Module:Namespace detect/config	Módulo:Namespace detect/config
Category:龍	Categoria:Dragões chineses
雨傘運動	Protestos em Hong Kong em 2014
代言 (動漫)	Mascote
