非洲	África
分類:1888年	Categoria:1888
濟酋余化盧	Zichyújfalu
分類:1481年過世	Categoria:Mortos em 1481
分類:1421年出世	Categoria:Nascidos em 1421
分類:1421年	Categoria:1421
分類:1481年	Categoria:1481
孔子	Confúcio
科賓·布魯	Corbin Bleu
分類:數學	Categoria:Matemática
分類:1888年出世	Categoria:Nascidos em 1888
1488年	1488
歐元	Euro
美金	Dólar dos Estados Unidos
地中海	Mar Mediterrâneo
基督教	Cristianismo
1004年	1004
西雅圖	Seattle
禾	Arroz
大洲	Continente
葡萄牙語	Língua portuguesa
慕斯他化·克麥·阿塔突	Mustafa Kemal Atatürk
1948年	1948
1949年	1949
黄现璠	Huang Xianfan
1956年	1956
1200年	1200
1201年	1201
1202年	1202
1203年	1203
1204年	1204
1205年	1205
1206年	1206
1941年	1941
1207年	1207
1208年	1208
1945年	1945
1209年	1209
1210年	1210
1211年	1211
1958年	1958
1212年	1212
1926年	1926
1213年	1213
1947年	1947
1944年	1944
1952年	1952
日语	Língua japonesa
百科全書	Enciclopédia
封面	Wikipédia:Página principal
1959年	1959
1957年	1957
電容	Capacitor
晶體管	Transístor
1214年	1214
1215年	1215
1216年	1216
1217年	1217
1218年	1218
1219年	1219
1220年	1220
1221年	1221
1222年	1222
1223年	1223
1224年	1224
1225年	1225
1226年	1226
1227年	1227
1228年	1228
1229年	1229
1230年	1230
長江	Rio Yangtzé
1231年	1231
1232年	1232
1233年	1233
1234年	1234
1235年	1235
1236年	1236
1237年	1237
1238年	1238
1239年	1239
1240年	1240
1241年	1241
1242年	1242
1243年	1243
1244年	1244
1245年	1245
1246年	1246
喜馬拉雅山脈	Himalaia
安底斯山脈	Cordilheira dos Andes
1247年	1247
1248年	1248
裡海	Mar Cáspio
1249年	1249
1250年	1250
1251年	1251
1252年	1252
1254年	1254
1255年	1255
1256年	1256
1257年	1257
1258年	1258
1259年	1259
1260年	1260
1261年	1261
1262年	1262
1263年	1263
1264年	1264
1265年	1265
1266年	1266
1267年	1267
1268年	1268
1269年	1269
1270年	1270
1271年	1271
1272年	1272
1273年	1273
1274年	1274
1275年	1275
1276年	1276
1277年	1277
1278年	1278
1279年	1279
1280年	1280
1281年	1281
1282年	1282
1283年	1283
1284年	1284
1285年	1285
1286年	1286
1287年	1287
1288年	1288
1289年	1289
1290年	1290
1291年	1291
1292年	1292
1293年	1293
1294年	1294
1295年	1295
1296年	1296
1297年	1297
1298年	1298
1299年	1299
答利	Salvador Dalí
梵高	Vincent van Gogh
葛飾北齋	Katsushika Hokusai
米開朗琪羅	Michelangelo
畢加索	Pablo Picasso
藍郎特	Rembrandt
1300年	1300
1301年	1301
1302年	1302
1303年	1303
1304年	1304
1305年	1305
安徒生	Hans Christian Andersen
拜倫	Lord Byron
塞萬提斯	Miguel de Cervantes
1306年	1306
1307年	1307
1308年	1308
1309年	1309
1310年	1310
1311年	1311
1312年	1312
1313年	1313
1314年	1314
1315年	1315
1316年	1316
1317年	1317
1318年	1318
1319年	1319
1320年	1320
1321年	1321
1322年	1322
1323年	1323
1324年	1324
1325年	1325
1326年	1326
1327年	1327
1328年	1328
麥加	Meca
毛澤東	Mao Tsé-Tung
西安	Xian
被服	Cobertor
歌德	Johann Wolfgang von Goethe
屄	Vagina
V·禍·魂得他	V de Vingança (filme)
哲學	Filosofia
1329年	1329
分類:快速刪吥	Categoria:!Páginas para eliminação rápida
1330年	1330
1331年	1331
1332年	1332
1333年	1333
1334年	1334
1335年	1335
1336年	1336
1337年	1337
1338年	1338
1339年	1339
1340年	1340
1341年	1341
1342年	1342
1343年	1343
1344年	1344
1345年	1345
1346年	1346
1347年	1347
1348年	1348
1349年	1349
1350年	1350
茶	Chá
馬可·波羅	Marco Polo
1351年	1351
波特蘭 (奧勒岡州)	Portland (Oregon)
1400年	1400
1401年	1401
1352年	1352
1402年	1402
1353年	1353
1403年	1403
1354年	1354
1404年	1404
1355年	1355
1405年	1405
1500年	1500
1406年	1406
1356年	1356
1501年	1501
1407年	1407
1357年	1357
1502年	1502
1408年	1408
1358年	1358
1503年	1503
1359年	1359
1409年	1409
1504年	1504
1360年	1360
1410年	1410
1505年	1505
1506年	1506
1411年	1411
1361年	1361
1507年	1507
1412年	1412
1362年	1362
1413年	1413
1508年	1508
1363年	1363
1509年	1509
1414年	1414
1510年	1510
1415年	1415
1364年	1364
共產主義	Comunismo
1511年	1511
1416年	1416
1365年	1365
1512年	1512
1417年	1417
1366年	1366
1513年	1513
1418年	1418
1367年	1367
1514年	1514
1419年	1419
資本主義	Capitalismo
1368年	1368
1515年	1515
1420年	1420
1369年	1369
1516年	1516
1421年	1421
1370年	1370
1371年	1371
國家	País
1372年	1372
1373年	1373
1422年	1422
1517年	1517
1423年	1423
1518年	1518
1374年	1374
1424年	1424
1375年	1375
1519年	1519
1376年	1376
1425年	1425
1520年	1520
1521年	1521
1377年	1377
1426年	1426
1522年	1522
1523年	1523
1427年	1427
1378年	1378
1524年	1524
1525年	1525
1428年	1428
1379年	1379
1526年	1526
1429年	1429
1380年	1380
1381年	1381
1382年	1382
1383年	1383
1430年	1430
1431年	1431
印第安納波利斯	Indianápolis
1384年	1384
1432年	1432
1385年	1385
1386年	1386
1433年	1433
1387年	1387
1434年	1434
1435年	1435
1388年	1388
1436年	1436
1389年	1389
1437年	1437
1390年	1390
1438年	1438
1391年	1391
1439年	1439
1392年	1392
1440年	1440
1393年	1393
1394年	1394
1395年	1395
1441年	1441
1396年	1396
1397年	1397
1442年	1442
1527年	1527
1528年	1528
1398年	1398
1443年	1443
1444年	1444
1529年	1529
1399年	1399
1445年	1445
1530年	1530
1446年	1446
1531年	1531
1447年	1447
1532年	1532
1448年	1448
蒙彼利埃	Montpellier
1533年	1533
1449年	1449
1534年	1534
1450年	1450
1535年	1535
1451年	1451
1536年	1536
1452年	1452
1537年	1537
1453年	1453
1538年	1538
1454年	1454
1539年	1539
1455年	1455
1540年	1540
睗著嗰惠尼根	Finnegans Wake
分類:天文	Categoria:Astronomia
尤利西斯	Ulisses (livro)
1541年	1541
1456年	1456
1457年	1457
1542年	1542
1458年	1458
1543年	1543
1459年	1459
1544年	1544
1460年	1460
1545年	1545
1461年	1461
1546年	1546
1462年	1462
1547年	1547
1463年	1463
1548年	1548
1464年	1464
1549年	1549
1465年	1465
1550年	1550
1466年	1466
1551年	1551
1467年	1467
1468年	1468
1552年	1552
1469年	1469
1553年	1553
1470年	1470
1554年	1554
1471年	1471
1555年	1555
撒哈拉沙漠	Deserto do Saara
1472年	1472
1556年	1556
1473年	1473
1557年	1557
1474年	1474
1558年	1558
1475年	1475
1559年	1559
1476年	1476
1560年	1560
1477年	1477
1478年	1478
1561年	1561
1479年	1479
1562年	1562
1480年	1480
1563年	1563
1481年	1481
1564年	1564
1482年	1482
1565年	1565
1483年	1483
1566年	1566
1484年	1484
1567年	1567
1485年	1485
1486年	1486
1568年	1568
1487年	1487
1569年	1569
1570年	1570
1489年	1489
1571年	1571
1490年	1490
1572年	1572
1491年	1491
1573年	1573
1492年	1492
1574年	1574
1493年	1493
1575年	1575
荷馬	Homero
1494年	1494
1495年	1495
1496年	1496
1576年	1576
1497年	1497
1577年	1577
1498年	1498
1578年	1578
1499年	1499
1579年	1579
1580年	1580
1581年	1581
1582年	1582
1600年	1600
高斯	Carl Friedrich Gauss
1601年	1601
1583年	1583
1602年	1602
1584年	1584
1603年	1603
1585年	1585
1604年	1604
1586年	1586
1605年	1605
1587年	1587
1606年	1606
1607年	1607
1588年	1588
1608年	1608
1589年	1589
1609年	1609
1590年	1590
1610年	1610
1591年	1591
1611年	1611
1592年	1592
1612年	1612
1593年	1593
1613年	1613
1594年	1594
1614年	1614
1595年	1595
1615年	1615
1596年	1596
1616年	1616
1597年	1597
1617年	1617
1598年	1598
1618年	1618
1599年	1599
