ܐܦܪܝܩܐ	África
ܠܫܢܐ ܝܘܢܝܐ	Língua grega
ܠܫܢܐ ܦܪܣܝܐ	Língua persa
ܬܘܕܝܬܐ	Religião
ܐܒܪܗܡ	Abraão
ܣܦܪܐ ܕܒܪܝܬܐ	Gênesis
ܠܫܢܐ ܩܢܛܘܢܝܐ	Cantonês
ܠܫܢܐ ܡܢܕܪܝܢܝܐ	Língua mandarim
ܦܘܠܘܣ ܫܠܝܚܐ	Paulo de Tarso
ܙܝܓܡܘܢܕ ܦܪܘܝܕ	Sigmund Freud
ܙܠܛܐ	Salada
ܝܗܘܕܝܘܬܐ	Judaísmo
ܠܫܢܐ ܥܒܪܝܐ	Língua hebraica
ܟܒܕܐ	Fígado
ܛܚܠܐ	Baço
ܟܘܠܝܬܐ	Rim
ܫܠܦܘܚܬܐ	Bexiga
ܐܫܟܐ	Testículo
ܐܘܩܝܢܘܣ	Oceano
ܒܘܕܗܐ	Sidarta Gautama
ܡܘܚܡܕ	Maomé
ܟܪܣܐ	Abdómen
ܚܒܠܐ ܟܘܒܝܐ	Medula espinhal
ܘܪܝܕܐ	Veia
ܡܪܒܥܐ	Útero
ܠܫܢܐ (ܗܕܡܐ)	Língua
ܓܝܕܐ	Nervo
ܨܘܪܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Pescoço
ܦܘܡܐ	Boca
ܓܓܪܬܐ	Laringe
ܡܥܝܐ	Intestino
ܫܪܝܬܐ	Articulação
ܚܕܝܐ	Peito
ܬܝܪܬܐ	Glândula
ܚܠܒܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	Músculo diafragma
ܫܪܝܢܐ	Artéria
A	A
B	B
ܢܘܛܦܬܐ	Sémen
G	G
U	U
Z	Z
F	F
J	J
ܐܠܦܒܝܬ	Alfabeto
T	T
C	C
R	R
D	D
Α	Α
Ω	Ω
I	I
Μ	Μ
E	E
H	H
ܗܐܪܠܡ (ܗܘܠܢܕܐ)	Haarlem
K	K
L	L
M	M
N	N
O	O
Q	Q
S	S
V	V
W	W
X	X
Y	Y
ܐܢܫܟܕܐ	Enschede
Φ	Φ
ܝܘܢܐ	Columbidae
ܐܝܠܢܐ	Árvore
Λ	Λ
ܓܒܬܐ	Queijo
ܥܢܒܬܐ	Uva
ܕܒܫܐ	Mel
ܒܣܪܐ	Carne
ܫܟܪ	Açúcar
ܣܦܪܙܒܢܐ	Jornal
ܙܥܘܩܐ	Telefone
ܡܪܕܘܬܐ	Cultura
ܡܥܝܐ ܥܒܝܐ	Intestino grosso
ܡܥܝܐ ܩܛܝܢܐ	Intestino delgado
ܣܘܪܓܕܐ ܝܘܠܝܝܐ	Calendário juliano
ܐܣܝܘܬܐ	Medicina
ܡܠܚܐ (ܐܨܪܐ)	Sal de cozinha
ܣܕܪܐ:ܒܪܐܙܝܠ	Categoria:Brasil
ܙܘܝܬܐ (ܡܚܪܘܬܐ)	Ângulo
ܬܘܩܦܐ	Energia
ܣܦܝܢܬܐ	Navio
ܩܠܐ (ܨܘܬܐ)	Som
ܙܓܘܓܝܬܐ	Vidro
ܫܛܝܚܘܬܐ	Área
ܡܢܝܢܐ	Número
ܪܦܦܐ	Segundo
ܣܥܪܬܐ	Cevada
ܘܘܗܐܢ	Wuhan
ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Lista de Estados soberanos
ܒܝܬ ܢܗܪܝܢ	Mesopotâmia
ܕܒܐ	Ursidae
ܬܠܗܝܐ	Cancro
ܡܠܟܐ	Rei
ܚܛܬܐ	Trigo
ܣܘܪܓܕܐ	Calendário
ܟܘܪܗܢܐ	Doença
ܣܘܪܓܕܐ ܓܪܝܓܘܪܝܐ	Calendário gregoriano
ܟܦܣܐ	Menstruação
ܥܡܐ ܩܪܕܘܝܐ	Curdos
ܓܫܪܐ	Ponte
ܡܓܕܠܐ (ܒܢܝܢܐ)	Torre
ܐܡܪܝܩܐ ܠܐܛܝܢܝܬܐ	América Latina
ܟܗܪܒܐ	Eletricidade
