ܐܦܪܝܩܐ	África
ܩܠܒܐ:ܝܗܘܝܬܐ South Georgia and the South Sandwich Islands	Predefinição:Country data Ilhas Geórgia do Sul e Sandwich do Sul
ܣܕܪܐ:ܦܣܩܐ ܕܝܘܡܐ	Categoria:Partes de um dia
ܣܕܪܐ:ܛܪܘܢܐ	Categoria:Ditadores
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܣܘܪܝܝܬܐ ܐܪܬܘܕܟܣܝܬܐ	Categoria:Patriarcas ortodoxos siríacos de Antioquia
ܕܒܘܪܐ (ܪܚܫܐ)	Vespa
ܩܠܒܐ:ܣܘܪܓܕܐ ܚܘܫܒܢܐ	Predefinição:Outros calendários
ܣܕܪܐ:ܩܕܝܫܐ	Categoria:Santos
ܩܪܕܐ (ܪܚܫܐ)	Ixodida
ܩܠܒܐ:ܣܝܩܘܡ ܫܘܪܝܐ	Predefinição:Data de início
ܩܠܒܐ:User nl-3	Predefinição:User nl-3
ܩܠܒܐ:Tim	Predefinição:Tim
ܩܠܒܐ:P1	Predefinição:P1
ܢܘܓܗܐ	Madrugada
ܩܠܒܐ:Sec link/text	Predefinição:Sec link/text
ܘܝܩܝܦܕܝܐ:NavFrame	Wikipédia:NavFrame
ܩܠܒܐ:Infobox language/genetic	Predefinição:Info/Língua/genetic2
ܟܘܕܐ	Lóquio
ܕܝܠܢܝܐ:ܫܘܚܠܦ̈ܐ ܚܕ̈ܬܐ	Especial:Mudanças recentes
ܘܙܐ	Ganso
