አፍሪቃ	África
307 እ.ኤ.አ.	307
346 እ.ኤ.አ.	346
257 እ.ኤ.አ.	257
መብረቅ	Raio (meteorologia)
285 እ.ኤ.አ.	285
591 እ.ኤ.አ.	591
289 እ.ኤ.አ.	289
በርትራንድ ረስል	Bertrand Russell
የኒካራጓ ምልክት ቋንቋ	Língua de sinais nicaraguense
እጅ	Mão
ዱ ፉ	Du Fu
563 እ.ኤ.አ.	563
252 እ.ኤ.አ.	252
ናፖሊታንኛ	Língua napolitana
595 እ.ኤ.አ.	595
ኖርማንኛ	Língua normanda
246 እ.ኤ.አ.	246
ኦሮምኛ	Língua oromo
ቴዮዶር ሮዝቬልት	Theodore Roosevelt
596 እ.ኤ.አ.	596
ፓንጋሲናንኛ	Língua pangasinesa
ስልጤኛ	Língua silt'e
593 እ.ኤ.አ.	593
357 እ.ኤ.አ.	357
ቴል አቪቭ	Tel Aviv
ስሜን ሳሚኛ	Língua sami setentrional
ኢሮንኛ	Língua osseta
ኔፓል ባሳ	Língua neuari
ቫልፓራይሶ	Valparaíso (Chile)
ኢካሮስ	Ícaro
ሴማዊ ቋንቋዎች	Línguas semíticas
599 እ.ኤ.አ.	599
326 እ.ኤ.አ.	326
341 እ.ኤ.አ.	341
322 እ.ኤ.አ.	322
ናስ	Bronze
ሆስኒ ሙባረክ	Hosni Mubarak
ወሓካ	Oaxaca
386 እ.ኤ.አ.	386
ትግርኛ	Língua tigrínia
ፉናፉቲ	Funafuti
374 እ.ኤ.አ.	374
380 እ.ኤ.አ.	380
ቶክ ፒሲን	Língua tok pisin
ፓብሎ ኔሩዳ	Pablo Neruda
ዋሎንኛ	Língua valona
የምልክት ቋንቋ	Língua de sinais
136 እ.ኤ.አ.	136
ፖርቶፕሪንስ	Porto Príncipe
ዊናራይኛ	Língua waray-waray
ዉ ቻይንኛ	Língua wu
ዉድሮው ዊልሰን	Woodrow Wilson
ሳቃኛ	Língua iacuta
ቀርጤስ	Creta
ሞሾቭጸ	Mošovce
ዩኒቨርስቲ ኦፍ ኦክስፎርድ	Universidade de Oxford
ማሕሙድ አሕማዲኔዣድ	Mahmoud Ahmadinejad
ሲዲ	Compact Disc
አሌክሳንድር ሶልዠኒጽን	Alexander Soljenítsin
ሴይንት ህሊና ደሴት	Santa Helena (ilha)
382 እ.ኤ.አ.	382
342 እ.ኤ.አ.	342
373 እ.ኤ.አ.	373
372 እ.ኤ.አ.	372
ኤጊያን ባህር	Mar Egeu
አናስታስያ	Anastacia
ኤፍራጥስ ወንዝ	Rio Eufrates
ጄምስ ጋርፊልድ	James A. Garfield
የሊቢያ ሰንደቅ ዓላማ	Bandeira da Líbia
አስርቱ ቃላት	Dez Mandamentos
ጆሃንስበርግ	Joanesburgo
1990ዎቹ	Década de 1990
ጆዋን ሮውሊንግ	J. K. Rowling
ኪንግስተን	Kingston
ግሥላ	Leopardo
አውራሪስ	Rhinocerotidae
ሶማሊላንድ	Somalilândia
የስልክ መግቢያ	Lista de códigos telefónicos
ሳንቶ ዶሚንጎ	Santo Domingo
ቴኪክስኪያክ	Tequixquiac
ዩሊሲስ ግራንት	Ulysses S. Grant
ፓፓያ	Mamão
375 እ.ኤ.አ.	375
ቤንጃሚን ፍራንክሊን	Benjamin Franklin
1970ዎቹ	Década de 1970
ዊሊያም ማኪንሊ	William McKinley
ጥቅል ጎመን	Repolho
የአሜሪካ ፕሬዝዳንቶች ዝርዝር	Lista de presidentes dos Estados Unidos
የዋና ከተሞች ዝርዝር	Lista de capitais nacionais
ዌብሳይት	Site
ግሮቨር ክሊቭላንድ	Grover Cleveland
ኩዌት ከተማ	Kuwait (cidade)
ሄርበርት ሁቨር	Herbert Hoover
ዋረን ሃርዲንግ	Warren G. Harding
387 እ.ኤ.አ.	387
ዲዚኛ	Língua dizin
ሱመር	Suméria
ኮሎምቦ	Colombo
መካከለኛ ቢኮልኛ	Língua bicolana
መስኮት	Janela
መዲና	Medina
ቼስተር አርተር	Chester A. Arthur
ዋሻ	Caverna
አካድኛ	Língua acádia
ዋይት ሃውስ	Casa Branca
ፖሊስ	Polícia
ቸሃኛ	Língua chaha
ጤግሮስ	Rio Tigre
ዊልያም ሃወርድ ታፍት	William Howard Taft
ግዕዝ	Língua ge'ez
ቤንጃሚን ሀሪሰን	Benjamin Harrison
ራዘርፎርድ ሄይስ	Rutherford B. Hayes
ባሩክ ስፒኖዛ	Baruch Espinoza
ዞራስተር	Zaratustra
ኢንተርሊንግዌ	Interlingue
ኦመር ሃያም	Omar Khayyām
ስፖርት ክለብ ኮሪንቺያንስ ፓውሊስታ	Sport Club Corinthians Paulista
ኢንተርሊንጉዋ	Língua interlíngua
ኢሎካኖ	Ilocano
ሥነ ውበት	Estética
ሆ ቺ ሚን	Ho Chi Minh
ካልቪን ኩሊጅ	Calvin Coolidge
ሊጉርኛ	Língua lígure
ካፓምፓንጋንኛ	Língua kapampangan
ስብስብ	Conjunto
ብርጅታውን	Bridgetown
ላዲኖ	Judeu-espanhol
ሲሊጎ	Siligo
ሊንጋላ	Língua lingala
ማላያላም	Língua malaiala
አሃድ ጨረር	Vetor unitário
አፒያ	Apia
ሴንት ጆንስ፥ አንቲጋ እና ባርቡዳ	Saint John's
ሮዞ	Roseau
ኦንጎትኛ	Língua ongota
ሎዥባን	Lojban
ሃሙራቢ	Hamurabi
ሞልዶቭኛ	Língua moldava
የፖለቲካ ጥናት	Ciência política
ማዖሪ ቋንቋ	Língua maori
ደቡብ ሚንኛ	Min Nan
ፖርት ሞርስቢ	Port Moresby
1900ዎቹ	Década de 1900
ኖቪያል	Novial
ድረ ገጽ	Página web
በር	Porta
አራት ማዕዘን	Quadrilátero
ሶራኒኛ	Língua sorâni
ሸንኮራ ኣገዳ	Cana-de-açúcar
ወላይትኛ	Língua wolaytta
ቮላፒውክ	Língua volapuque
ሚስማር	Prego
ንጉሥ ሰሎሞን	Salomão
ሥላሴ	Trindade (cristianismo)
ያሁ	Yahoo!
331 እ.ኤ.አ.	331
ማሪኡፖል	Mariupol
365 እ.ኤ.አ.	365
379 እ.ኤ.አ.	379
ዴቪድ ሁም	David Hume
የ2006 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 2006
ጆን ማይክል ታልበት	John Michael Talbot
ኦቾሎኒ	Amendoim
ቶማስ ሆብስ	Thomas Hobbes
ገበያ	Mercado
ካምፖራ ሳን ጆቫኒ	Campora San Giovanni
እስስት	Camaleão
ብሉምፎንቴይን	Bloemfontein
ቲ.ኤስ. ኤልየት	T. S. Eliot
በልጺ	Bălţi
ፖርት ቪላ	Port Vila
ማቀዝቀዣ	Frigorífico
ስኳር ድንች	Batata-doce
ያንጎን	Rangum
ኅልውነት	Existencialismo
አርተር ሾፐናውር	Arthur Schopenhauer
ሌውኪፖስ	Leucipo (rei de Sicião)
አንዤ	Angers
ቱርኩ	Turku
ሳው ፓውሉ የእግር ኳስ ክለብ	São Paulo Futebol Clube
ሃብሃብ	Melancia
አበሳሰል	Cozedura
ላብራዶር	Labrador retriever
ሱቫ	Suva
ኑኩአሎፋ	Nuku'alofa
በሶብላ	Manjericão-de-folha-larga
አስዋን ግድብ	Represa de Assuã
ትኩሳት	Febre
ፖርት ኦፍ ስፔን	Port of Spain
የእብድ ውሻ በሽታ	Raiva (doença)
ሪቻርድ ፋይንማን	Richard Feynman
መጥረቢያ	Machado
ቢርኪርካራ	Birkirkara
ኧያፍያትላዮኪውትል	Eyjafjallajökull
አኮንካጓ	Aconcágua
ደቂቅ ዘ አካላት	Micro-organismo
ሱሪ	Calça
ጡብ	Tijolo
ዊል ስሚዝ	Will Smith
ሞላላ	Elipse
መፈንቅል	Alavanca
መንኮራኩር	Nave espacial
ሬዳቫሌ	Redavalle
ማባዛት	Multiplicação
ርብቃ	Rebeca
ሎጥ	Ló
ታክሎባን	Tacloban
ማይስፔስ	Myspace
ዳማቫንድ	Monte Damavand
ዳግማዊ ኒኮላይ	Nicolau II da Rússia
አና ማሪያ ዮፐክ	Anna Maria Jopek
ናንሲ	Nancy
ሆኒያራ	Honiara
ሽንት	Urina
ጸሎት	Oração
አሦር	Assíria
ቀዳማዊ ኃይለ ሥላሴ	Haile Selassie
ካየን	Caen
የባቢሎን ግንብ	Torre de Babel
ሲኒማ	Sala de cinema
ኖቲንግሃም	Nottingham
በጀት	Orçamento
ባስቴር	Basseterre
በትረ ሎሚ	Toranja
ኪንግስታውን	Kingstown
የሠገራ ትቦ ንጣፍ መድማት ወይመ መቁስል (ሄሞሮይድ)	Hemorroida
ዎሌ ሾይንካ	Wole Soyinka
ስታንፎርድ ዩኒቨርስቲ	Universidade Stanford
ሚሸል ደ ሞንታኝ	Michel de Montaigne
ጃንጥላ	Guarda-chuva
ፊንቄ	Fenícia
የሕንድ ሰንደቅ ዓላማ	Bandeira da Índia
ዲዮኒሶስ	Dioniso
ቶኪዳይደስ	Tucídides
ካስትሪስ	Castries
ጥራክያ	Trácia
ዓረፍተ-ነገር	Frase, oração e período
ቤርሳቤ	Bersebá
ሮዛ ፓርክስ	Rosa Parks
የዮሐንስ ራዕይ	Apocalipse
ስራ	Trabalho (física)
ቅልጥ አለት	Magma
ቁጥቋጦ	Arbusto
ኣደንጓሬ	Feijão
ሾጣጣ	Cone
ጥንታዊ እንግሊዝኛ	Inglês antigo
ሚካኤል ሾሎኮቭ	Mikhail Sholokhov
የፓላንድ ሰንደቅ ዓላማ	Bandeira da Polónia
የአሜሪካ ሰንደቅ ዓላማ	Bandeira dos Estados Unidos
እርድ	Açafrão-da-terra
ኤምፒ3	MP3
አነር	Serval
ፓሊኪር	Palikir
ኢቫን ቱርጌኔቭ	Ivan Turgueniev
የጣልያ ሰንደቅ ዓላማ	Bandeira da Itália
ግድግዳ	Muro
ቤሲክ (BASIC)	BASIC
ኤሌክትሪክ ምህንድስና	Engenharia elétrica
ሩድ	Rodes
ቁንደ በርበሬ	Pimenta-preta
ኤልብሩስ ተራራ	Monte Elbrus
ሶፊያ ሮታሩ	Sofia Rotaru
የጃፓን ሰንደቅ ዓላማ	Bandeira do Japão
ኤለን ጆንሰን ሰርሊፍ	Ellen Johnson Sirleaf
ሸለምጥማጥ	Genetta
ሩሚ	Jalal ad-Din Muhammad Rumi
ሴት (ጾታ)	Fêmea
የብሪታንያ ሕንድ ውቅያኖስ ግዛት	Território Britânico do Oceano Índico
ደርቢ	Derby (Derbyshire)
አንቶን ቫን ሉዊንሁክ	Anton van Leeuwenhoek
ሀይድሮካርቦን	Hidrocarboneto
አፖሎ ፲፩	Apollo 11
ኮሌስትሮል	Colesterol
ሞንቴርሞሶ	Montehermoso
ሙሃመድ ዩኑስ	Muhammad Yunus
መሣፖስ	Messapo
ፐራቶስ	Erato (rei de Sicião)
የዶሮ ጉንፋን	Gripe aviária
ፕሌምናዮስ	Plemneu
ወንድ	Macho
ክሮኖስ	Cronos
ኦሊቨር ክሮምዌል	Oliver Cromwell
ጂም ሞሪሰን	Jim Morrison
ማትሪክስ	Matriz (matemática)
ሙቀት	Calor
ጨረር	Vetor (matemática)
ቤተ መቅደስ	Templo
ታይታኒክ	Titanic (1997)
ቦሌ ዓለም አቀፍ ጥያራ ጣቢያ	Aeroporto Internacional Bole
ተልባ	Linho
ዘ ዶርስ	The Doors
እርሾ	Levedura
ሚካኤል	Miguel (arcanjo)
ባህር ዛፍ	Eucalipto
ጤሪ አንሪ	Thierry Henry
ጆህን ከይል	John Cale
የላኦስ ሰንደቅ ዓላማ	Bandeira do Laos
ኤሌክትሪክ መስክ	Campo elétrico
ኤሊ	Testudinidae
የሆላንድ ሰንደቅ ዓላማ	Bandeira dos Países Baixos
መካነቅርስ እስራኤል	Museu de Israel
ሮበርት ሁክ	Robert Hooke
የኦስትሪያ ሰንደቅ ዓላማ	Bandeira da Áustria
የጣት ቀለበት	Anel
ሳይንሳዊ ዘዴ	Método científico
የ1982 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1982
የ1986 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1986
የ1978 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1978
ዋዝንቢት	Grilo
ሳጉንቶ	Sagunto
ኤፌሶን	Éfeso
ናዲን ጎርድመር	Nadine Gordimer
የ2002 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 2002
እባን	Mentha
339 እ.ኤ.አ.	339
340 እ.ኤ.አ.	340
ኔመሕን	Nimegue
354 እ.ኤ.አ.	354
356 እ.ኤ.አ.	356
358 እ.ኤ.አ.	358
ካርሎስ ቬላ	Carlos Vela
361 እ.ኤ.አ.	361
363 እ.ኤ.አ.	363
364 እ.ኤ.አ.	364
368 እ.ኤ.አ.	368
369 እ.ኤ.አ.	369
370 እ.ኤ.አ.	370
371 እ.ኤ.አ.	371
መለጠፊያ:Commonscat	Predefinição:Commonscat
376 እ.ኤ.አ.	376
377 እ.ኤ.አ.	377
378 እ.ኤ.አ.	378
383 እ.ኤ.አ.	383
384 እ.ኤ.አ.	384
388 እ.ኤ.አ.	388
389 እ.ኤ.አ.	389
390 እ.ኤ.አ.	390
391 እ.ኤ.አ.	391
392 እ.ኤ.አ.	392
393 እ.ኤ.አ.	393
394 እ.ኤ.አ.	394
395 እ.ኤ.አ.	395
396 እ.ኤ.አ.	396
397 እ.ኤ.አ.	397
ማጅራት ገትር	Meningite
398 እ.ኤ.አ.	398
399 እ.ኤ.አ.	399
የጀርመን ሰንደቅ ዓላማ	Bandeira da Alemanha
ፆታ	Género (sociedade)
ባላ	Parábola
ማርቲን ሄድጋ	Martin Heidegger
ዴቪድ ሊቪንግስተን	David Livingstone
በከራ	Polia
የአልባኒያ ሰንደቅ ዓላማ	Bandeira da Albânia
የ1930 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1930
ሂርካኒያ	Hircânia
ልብስ ስፌት መኪና	Máquina de costura
Þ	Thorn (letra)
279 እ.ኤ.አ.	279
440 እ.ኤ.አ.	440
572 እ.ኤ.አ.	572
ጉዞ (ቱሪዝም)	Turismo
ኖዮን	Noyon
የጋብቻ ሥነ-ስርዓት	Boda
ዳይር ስትረይትስ	Dire Straits
ግብጽኛ	Língua egípcia
ቀጥተኛ ዝምድና	Proporcionalidade
አናቶሊያ	Anatólia
እየሱስ በእስልምና	Isa (profeta)
ኢቦላ	Doença por vírus Ébola
መለጠፊያ:Taxobox	Predefinição:Info/Taxonomia
አበበ ቢቂላ	Abebe Bikila
ጓጉንቸር	Anura
ጀኔራል ኤሌክትሪክ	General Electric
መደብ:አስቂኝ ፊልሞች	Categoria:Filmes de comédia
መደብ:ፊልሞች	Categoria:Filmes
እንቁራሪት	Bufonidae
የኤሌክትሪክ እምቅ	Potencial elétrico
ፒተር ኡስቲኖቭ	Peter Ustinov
የጀርመን ዳግመኛ መወሐድ	Reunificação da Alemanha
ሃድያኛ	Língua hadia
ኦማር ሀሳን አህመድ አል-በሽር	Omar al-Bashir
ሙአይ ኪባኪ	Mwai Kibaki
ባሚር ቶፒ	Bamir Topi
ሆዜ ኤድዋርዶ ዶስ ሳንቶስ	José Eduardo dos Santos
ኢሳያስ አፈወርቂ	Isaias Afewerki
እድሪስ ዴቢ	Idriss Déby
ግርማ ወልደ ጊዮርጊስ	Girma Wolde-Giorgis
እስማኤል ኦማር ገለህ	Ismaïl Omar Guelleh
አሙን	Amon
ኤድመንድ ሁሠርል	Edmund Husserl
ፐሽቶ	Língua pachto
ግሪንሊ ካውንቲ፥ አሪዞና	Condado de Greenlee
ኮኮኒኖ ካውንቲ፥ አሪዞና	Condado de Coconino
ሒላ ካውንቲ፥ አሪዞና	Condado de Gila
ፒማ ካውንቲ፥ አሪዞና	Condado de Pima
ሳንታ ክሩዝ ካውንቲ፥ አሪዞና	Condado de Santa Cruz (Arizona)
ማሪኮፓ ካውንቲ፥ አሪዞና	Condado de Maricopa
ግራህም ካውንቲ፥ አሪዞና	Condado de Graham (Arizona)
ናቫሖ ካውንቲ፥ አሪዞና	Condado de Navajo
ሞሃቬ ካውንቲ፥ አሪዞና	Condado de Mohave
እሪያ	Javali
ዩማ ካውንቲ፥ አሪዞና	Condado de Yuma (Arizona)
ያቫፓይ ካውንቲ፥ አሪዞና	Condado de Yavapai
ፒናል ካውንቲ፥ አሪዞና	Condado de Pinal
ላ ፓዝ ካውንቲ፥ አሪዞና	Condado de La Paz
አፓቼ ካውንቲ፥ አሪዞና	Condado de Apache
ኮቻይስ ካውንቲ፥ አሪዞና	Condado de Cochise
የሳይንስ ፍልስፍና	Filosofia da ciência
ሽግግር መንግሥት	Governo provisório
በለስ	Figueira
ፍሬገ	Gottlob Frege
ሄሮይን	Heroína
ጄረሚ ቤንታም	Jeremy Bentham
ኪናባሉ	Monte Kinabalu
ማኒሽቱሹ	Manishtushu
አዮኒክ ቦንድ	Ligação iônica
እርግጥ	Teorema
የብርሃን ስብረት	Refração
ደብረ አራራት	Ararate
ቶኒ ሞሪሰን	Toni Morrison
ክዋቻ	Kwacha zambiano
ሥነ ጥምረት	Combinatória
ሸሚዝ	Camisa
ሲቪል ኢንጂነሪንግ	Engenharia civil
ኣንቲቦዲ	Imunoglobulina
ጁኖ (ፊልም)	Juno (filme)
ቢስቢ፥ አሪዞና	Bisbee (Arizona)
ኪንግማን፥ አሪዞና	Kingman (Arizona)
ውክፔዲያ:ምርጥ ጽሑፎች/ዕጩዎች	Wikipédia:Escolha do artigo em destaque
ሳፎርድ፥ አሪዞና	Safford
ኖጋሌስ፥ አሪዞና	Nogales (Arizona)
ፍሬንድስ (ተከታታይ ፊልም)	Friends
ሴንት ጆንስ፥ አሪዞና	St. Johns (Arizona)
ዩማ፥ አሪዞና	Yuma (Arizona)
ግሎብ፥ አሪዞና	Globe (Arizona)
ፍላግስታፍ፥ አሪዞና	Flagstaff
የ2014 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 2014
የአፍጋኒስታን ሰንደቅ ዓላማ	Bandeira do Afeganistão
ዴቪድ ሳልንጀር	J. D. Salinger
ሆልብሩክ፥ አሪዞና	Holbrook (Arizona)
ፕሬስኮት፥ አሪዞና	Prescott (Arizona)
የኦዞን ንጣፍ	Ozonosfera
ቼክ	Cheque
ሬት	Babosa
አጠራቃሚ	Integral
ሮቃ	Tamarindus
አና አኽማቶቫ	Anna Akhmátova
ባሚያ	Quiabo
ቻርልተን ሄስተን	Charlton Heston
ስፐትኒክ	Sputnik I
ስፖርት ክለብ ኢንተርናሲዮናል	Sport Club Internacional
ፐርል በክ	Pearl S. Buck
ሳንቶስ የእግር ኳስ ክለብ	Santos Futebol Clube
ቦታፎጎ ዴ ፉትቦል ኤ ሬጋታስ	Botafogo de Futebol e Regatas
የሶፍትዌር አሠራር	Engenharia de software
የውሃ ኡደት	Ciclo hidrológico
ኤቲኤም	Caixa eletrônico
ሽምብራ	Grão-de-bico
ኖኅ	Noé
ቆስጣ	Espinafre
የኤስቶንያ ሰንደቅ ዓላማ	Bandeira da Estónia
የሊቱዌኒያ ሰንደቅ ዓላማ	Bandeira da Lituânia
የአንዶራ ሰንደቅ ዓላማ	Bandeira de Andorra
የ፳፻፫ ዓ.ም. የሊቢያ ሕዝባዊ አብዮት	Guerra Civil Líbia (2011)
የአውስትራልያ ሰንደቅ ዓላማ	Bandeira da Austrália
ኤ.ኤፍ.ሲ. አያክስ	AFC Ajax
የቱርክ ሰንደቅ ዓላማ	Bandeira da Turquia
የሃንጋሪ ሰንደቅ ዓላማ	Bandeira da Hungria
ገብርኤል (መልዐክ)	Gabriel (anjo)
ቀንድ	Corno
ጢሮስ	Tiro
ሳም ዎርቲንግተን	Sam Worthington
የብራዚል ሰንደቅ ዓላማ	Bandeira do Brasil
ኦይለር ቁጥር	Número de Euler
ፉለንዶርፍ	Pfullendorf
የኩሎምብ ህግ	Lei de Coulomb
ሰላጣ	Alface
ሚኒስትር	Ministro
ታላቁ አልፍሬድ	Alfredo de Inglaterra
ፌንጣ	Gafanhoto
ጌርዮን	Gerião
መለጠፊያ:Cite book	Predefinição:Citar livro
ክላውድ ሻነን	Claude Shannon
ሰርጌይ ብሪን	Sergey Brin
እንቁላል (ምግብ)	Ovo (alimento)
ኦረንሴ	Ourense
ኦርክኒ	Órcades
የኢንዶኔዥያ ሰንደቅ ዓላማ	Bandeira da Indonésia
ጤቤስ	Tebas (Egito)
የ1998 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1998
ማንዴልብሮት	Benoît Mandelbrot
የ1994 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1994
ዚፕ	Zíper
የጋቦን ሰንደቅ ዓላማ	Bandeira do Gabão
ሻይ ቅጠል	Camellia sinensis
አረም	Erva daninha
ሊምቡርግኛ	Língua limburguesa
የሱዳን ሰንደቅ ዓላማ	Bandeira do Sudão
ሃሪ ፖተር ክፍል አራት (ፊልም)	Harry Potter e o Cálice de Fogo (filme)
ሃሪ ፖተር ክፍል አምስት (ፊልም)	Harry Potter and the Order of the Phoenix (filme)
ሃሪ ፖተር ክፍል ሁለት (ፊልም)	Harry Potter and the Chamber of Secrets (filme)
ሃሪ ፖተር ክፍል አንድ (ፊልም)	Harry Potter e a Pedra Filosofal (filme)
ሃሪ ፖተር ክፍል ሦስት (ፊልም)	Harry Potter e o Prisioneiro de Azkaban (filme)
ጦጣ	Hominoidea
ሞላ	Mola
የሆንዱራስ ሰንደቅ ዓላማ	Bandeira das Honduras
የጊኒ-ቢሳው ሰንደቅ ዓላማ	Bandeira da Guiné-Bissau
የናይጀሪያ ሰንደቅ ዓላማ	Bandeira da Nigéria
የሃይቲ ሰንደቅ ዓላማ	Bandeira do Haiti
የማላዊ ሰንደቅ ዓላማ	Bandeira do Malawi
የኡጋንዳ ሰንደቅ ዓላማ	Bandeira de Uganda
የኒጀር ሰንደቅ ዓላማ	Bandeira do Níger
የሊክተንስታይን ሰንደቅ ዓላማ	Bandeira de Liechtenstein
የሰሜን ኮርያ ሰንደቅ ዓላማ	Bandeira da Coreia do Norte
የባህማስ ሰንደቅ ዓላማ	Bandeira das Bahamas
ሴሚራሚስ	Semíramis
የባርባዶስ ሰንደቅ ዓላማ	Bandeira de Barbados
የሌሶቶ ሰንደቅ ዓላማ	Bandeira do Lesoto
ጻላጊ	Cherokees
ኬኔት ካውንዳ	Kenneth Kaunda
1 ቴቲ	Hórus Aha
ኮይኔ ግሪክ	Koiné
ሊያ ከበደ	Liya Kebede
አርኖ ወንዝ	Rio Arno
1 ኢድሪስ	Idris I da Líbia
ጣና ሐይቅ	Lago Tana
ፎረፎር	Caspa
ሎጋን	Maciço Logan
ንጥረ እሴት	Função modular
መሠረተ ልማት	Infraestrutura (engenharia)
ሳማ	Urtica
ሄራክሌስ	Héracles
አቲካ	Ática
የሜክሲኮ ሰንደቅ ዓላማ	Bandeira do México
የአውሮፓ ሰንደቅ ዓላማ	Bandeira europeia
አሞራ	Abutre
የፕላቶ ሪፐብሊክ	A República
የሾጣጣ ክፍሎች	Cónica
ፖርት ኤልሳቤጥ	Porto Elizabeth
ኢማም	Imame
ኤሌክትሮኒክ ኢንጂኔሪንግ	Engenharia eletrônica
ዋርነር ብሮስ.	Warner Bros.
ስቲቭ እርዊን	Steve Irwin
የኖህ መርከብ	Arca de Noé
የኢራን ሰንደቅ ዓላማ	Bandeira do Irão
ሰንሊ፣ ዋዝ	Senlis (Oise)
የቼክ ሪፐብሊክ ሰንደቅ ዓላማ	Bandeira da República Checa
የባንግላዴሽ ሰንደቅ ዓላማ	Bandeira do Bangladesh
ቋጥኛዊ ይዘት ያላቸው ፕላኔቶች	Planeta telúrico
ከበሮ (ድረም)	Bateria (instrumento musical)
የፓኪስታን ሰንደቅ ዓላማ	Bandeira do Paquistão
ፖርቶ የእግር ኳስ ክለብ	Futebol Clube do Porto
የእስራኤል ሰንደቅ ዓላማ	Bandeira de Israel
ለስተር ፒርሶን	Lester Bowles Pearson
ኤላም	Elam
የግሪክ ሰንደቅ ዓላማ	Bandeira da Grécia
ማኪንሌይ ተራራ	Monte McKinley
ሻርትረ	Chartres
የቤኒን ሰንደቅ ዓላማ	Bandeira do Benim
የላትቪያ ሰንደቅ ዓላማ	Bandeira da Letónia
የግብፅ ሰንደቅ ዓላማ	Bandeira do Egito
የባህሬን ሰንደቅ ዓላማ	Bandeira do Bahrein
ናንጋ ፓርባት	Nanga Parbat
የአርጀንቲና ሰንደቅ ዓላማ	Bandeira da Argentina
የጊዛ ታላቅ እስፊንክስ	Esfinge de Gizé
አክሮፖሊስ	Acrópole de Atenas
የ1954 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1954
የቻይና ህዝባዊ ሪፐብሊክ ሰንደቅ ዓላማ	Bandeira da República Popular da China
የቬት ናም ሰንደቅ ዓላማ	Bandeira do Vietname
ድኒስተር ወንዝ	Rio Dniestre
ማውና ኬያ	Mauna Kea
ደቡብ ታራዋ	Tarawa do Sul
ኢማጅን እና ፖኤሲያ	IMMAGINE&POESIA
አለማንኛ	Alemão alemânico
ባቄላ	Vicia faba
መሰቃ	Ironia
ውሻል	Cunha (ferramenta)
ወሓካ ዴ ዋሬዝ	Oaxaca de Juárez
ኖሪኩም	Nórica
ሥነ ግራፍ	Teoria dos grafos
ኤስ.ኤል. ቤንፊካ	Sport Lisboa e Benfica
የ1938 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1938
ፖሎክዋኔ	Polokwane
ቁልፍ	Chave
ሰባስቲያን አብሪዉ	Sebastián Abreu
ኪሽ	Kish (Iraque)
ቡርዥ	Bourges
የ1950 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1950
ኤይን ራንድ	Ayn Rand
የ1990 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1990
የ1958 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1958
ኤሌክትሪክ ዑደት	Circuito elétrico
የቤላሩስ ሰንደቅ ዓላማ	Bandeira da Bielorrússia
ባክትሪያ	Báctria
የ1970 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1970
የክሮኤሽያ ሰንደቅ ዓላማ	Bandeira da Croácia
የሉክሰምበርግ ሰንደቅ ዓላማ	Bandeira do Luxemburgo
ቅኝ ግዛት	Colónia
ኣብሽ	Feno-grego
የብርሃን መወላገድ	Difração
የቻይና አመት መቁጠሪያ	Calendário chinês
ናሙር	Namur
የ1966 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	Copa do Mundo FIFA de 1966
የተባበሩት የዓረብ ግዛቶች ሰንደቅ ዓላማ	Bandeira dos Emirados Árabes Unidos
የቡርኪና ፋሶ ሰንደቅ ዓላማ	Bandeira de Burkina Faso
መስተዋድድ	Adposição
የኒውተን የግስበት ቀመር	Lei da gravitação universal
የፊሊፒንስ ሰንደቅ ዓላማ	Bandeira das Filipinas
የቦሊቪያ ሰንደቅ ዓላማ	Bandeira da Bolívia
የኡራጓይ ብሔራዊ እግር ኳስ ቡድን	Seleção Uruguaia de Futebol
የጋምቢያ ሰንደቅ ዓላማ	Bandeira da Gâmbia
የብርሃን መጠላለፍ	Interferência
ኦጋዴን	Ogaden
ዘካርያስ (የመጥምቁ ዮሐንስ አባት)	Zacarias (sacerdote)
ድርው	Dreux
ፕሪዬኔ	Priene
ጥርስ (ማሽን)	Engrenagem
ቁልቋል	Opuntia ficus-indica
ጎመን	Couve
ታላቅ ክብ	Círculo máximo
